time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal,is_heating
1687859009.773017424s,44.75,26.5,23,25.6875,21.75,25.75,true
1687859009.780683352s,44.75,26.5,23,25.6875,21.75,25.75,true
1687859009.788858274s,44.75,26.5,26,25.6875,21.75,25.75,true
1687859009.796515202s,44.75,26.5,26,25.6875,21.75,25.75,true
1687859009.805072121s,44.75,26.5,26,25.6875,21.75,25.75,true
1687859009.812567049s,45,26.5,26,25.6875,21.75,25.75,true
1687859009.821195968s,45,26.5,26,25.6875,22.5,25.75,true
1687859009.828794896s,45,26.5,26,25.6875,22.5,25.75,true
1687859009.836288824s,45,26.5,26,25.6875,22.5,25.75,true
1687859009.844825744s,45,26.5,26,25.6875,22.5,25.75,true
1687859009.852521671s,45,26.5,26,25.6875,22.5,25.75,true
1687859009.861147589s,45,26.5,22.25,25.6875,22.5,25.75,true
1687859009.869262512s,45,26.5,22.25,25.6875,22.5,25.75,true
1687859009.877156437s,45,26.5,22.25,25.6875,22.5,25.75,true
1687859009.884730365s,45,26.5,22.25,25.6875,22.5,25.75,true
1687859009.892304293s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.900913212s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.909192133s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.916728062s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.924926984s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.932468912s,45,26.5,22.25,25.6875,23,25.75,true
1687859009.941108831s,45,26.5,21,25.6875,23,25.75,true
1687859009.948736758s,45,26.5,21,25.6875,23,25.75,true
1687859009.956271687s,45,26.5,21,25.6875,23,25.75,true
1687859009.964521609s,45,26.5,21,25.6875,22.5,25.75,true
1687859009.973190526s,45,26.5,21,25.6875,22.5,25.75,true
1687859009.980962453s,45,26.5,21,25.6875,22.5,25.75,true
1687859009.988512381s,45,26.5,21,25.6875,22.5,25.75,true
1687859009.996590304s,45,26.5,21,25.6875,22.5,25.75,true
1687859010.005197223s,45,26.5,21,25.6875,22.5,25.75,true
1687859010.012798151s,45,26.5,24.75,25.6875,22.5,25.75,true
1687859010.173040631s,45,26.5,22.5,25.6875,24.75,25.75,true
1687859010.180253563s,45.25,26.5,22.5,25.6875,24.75,25.75,true
1687859010.188830481s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.19636941s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.204909329s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.213008252s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.221455172s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.229162099s,45.25,26.5,22.5,25.6875,24.5,25.75,true
1687859010.236766027s,45.25,26.5,22.25,25.6875,24.5,25.75,true
1687859010.396371513s,45.25,26.5,24,25.6875,24.75,25.8125,true
1687859010.404496436s,45.25,26.5,24,25.6875,24.75,25.8125,true
1687859010.413035355s,45.25,26.5,24,25.6875,24.5,25.8125,true
1687859010.420560284s,45.25,26.5,24,25.6875,24.5,25.8125,true
1687859010.429194202s,45.25,26.5,24,25.6875,24.5,25.8125,true
1687859010.436644132s,45.25,26.5,24,25.6875,24.5,25.8125,true
1687859010.444837054s,45.25,26.5,24,25.6875,24.5,25.8125,true
1687859010.452964977s,45.25,26.5,21.75,25.6875,24.5,25.8125,true
1687859010.461147899s,45.25,26.5,21.75,25.6875,24.5,25.8125,true
1687859010.468768827s,45.25,26.5,21.75,25.6875,24.5,25.8125,true
1687859010.476321755s,45.25,26.5,21.75,25.6875,24.5,25.8125,true
1687859010.484941674s,45.25,26.5,21.75,25.6875,24.5,25.8125,true
1687859010.492479602s,45.25,26.5,21.75,25.6875,23.75,25.8125,true
1687859010.500277528s,45.25,26.5,21.75,25.6875,23.75,25.8125,true
1687859010.508295452s,45.25,26.5,21.75,25.6875,23.75,25.8125,true
1687859010.516836371s,45.25,26.5,21.75,25.6875,23.75,25.8125,true
1687859010.524684297s,45.25,26.5,21.75,25.6875,23.75,25.8125,true
1687859010.532301224s,45.25,26.5,24.5,25.6875,23.75,25.8125,true
1687859010.540984142s,45.25,26.5,24.5,25.6875,23.75,25.8125,true
1687859010.548650069s,45.25,26.5,24.5,25.6875,23.75,25.8125,true
1687859010.557185988s,45.25,26.5,24.5,25.6875,23.75,25.8125,true
1687859010.564749917s,45.25,26.5,24.5,25.6875,19.25,25.8125,true
1687859010.57279484s,45.25,26.5,24.5,25.6875,19.25,25.8125,true
1687859010.58126476s,45.25,26.5,24.5,25.6875,19.25,25.8125,true
1687859010.588870688s,45.25,26.5,24.5,25.6875,19.25,25.8125,true
1687859010.596406617s,45.25,26.4375,24.5,25.6875,19.25,25.8125,true
1687859010.604931536s,45.25,26.4375,24,25.6875,19.25,25.75,true
1687859010.692478706s,45.25,26.5,22.25,25.6875,24.25,25.75,true
1687859010.700710627s,45.5,26.5,22.25,25.6875,24.25,25.75,true
1687859010.709054548s,45.5,26.5,22.25,25.6875,24.25,25.75,true
1687859010.717233471s,45.5,26.5,22.25,25.75,24.25,25.75,true
1687859010.724816399s,45.5,26.5,22.25,25.75,24.25,25.75,true
1687859010.732275328s,45.5,26.5,22.25,25.75,24.25,25.75,true
1687859010.740767248s,45.5,26.5,22.25,25.75,24.25,25.75,true
1687859010.748804171s,45.5,26.5,24,25.75,24.25,25.75,true
1687859010.7563871s,45.5,26.5,24,25.75,24.25,25.75,true
1687859010.764908019s,45.5,26.5,24,25.75,24.25,25.75,true
1687859010.772425947s,45.5,26.5,24,25.75,24.25,25.75,true
1687859010.781059866s,45.5,26.5,24,25.75,24.25,25.75,true
1687859010.788684793s,45.5,26.5,24,25.6875,20.5,25.75,true
1687859010.796225722s,45.5,26.5,24,25.6875,20.5,25.75,true
1687859010.804788641s,45.5,26.5,24,25.6875,20.5,25.75,true
1687859010.812325569s,45.5,26.5,24,25.6875,20.5,25.75,true
1687859010.821148485s,45.5,26.5,24,25.6875,20.5,25.75,true
1687859010.828906412s,45.5,26.5,26.25,25.6875,20.5,25.75,true
1687859010.916956577s,45.5,26.5,23.25,25.6875,23.75,25.75,true
1687859010.925648494s,45.5,26.5,23.25,25.6875,23.75,25.75,true
1687859010.933198423s,45.5,26.5,23.25,25.6875,24.25,25.75,true
1687859010.941537344s,45.5,26.5,23.25,25.6875,24.25,25.75,true
1687859010.949162271s,45.5,26.5,23.25,25.6875,24.25,25.75,true
1687859010.957001197s,45.5,26.5,23.25,25.6875,24.25,25.75,true
1687859010.964248128s,45.5,26.5,23.25,25.6875,24.25,25.75,true
1687859010.973152044s,45.5,26.5,21.25,25.6875,24.25,25.8125,true
1687859010.980735972s,45.5,26.5,21.25,25.6875,24.25,25.8125,true
1687859010.9883399s,45.5,26.5,21.25,25.6875,24.25,25.8125,true
1687859010.996955818s,45.75,26.5,21.25,25.6875,24.25,25.8125,true
1687859011.004484747s,45.75,26.5,21.25,25.6875,24.25,25.8125,true
1687859011.01263167s,45.75,26.5,21.25,25.6875,23.75,25.8125,true
1687859011.020749593s,45.75,26.5,21.25,25.6875,23.75,25.8125,true
1687859011.028735517s,45.75,26.5,21.25,25.6875,23.75,25.8125,true
1687859011.036405444s,45.75,26.5,21.25,25.6875,23.75,25.8125,true
1687859011.044972363s,45.75,26.5,25.75,25.6875,23.75,25.8125,true
1687859011.052500292s,45.75,26.5,25.75,25.6875,23.75,25.8125,true
1687859011.061227209s,45.75,26.5,25.75,25.6875,23.75,25.8125,true
1687859011.068974135s,45.75,26.5,25.75,25.6875,23.75,25.8125,true
1687859011.076529064s,45.75,26.5,25.75,25.6875,23.75,25.8125,true
1687859011.085143982s,45.75,26.5,25.75,25.6875,23,25.8125,true
1687859011.092836909s,45.75,26.5,25.75,25.6875,23,25.8125,true
1687859011.100434837s,45.75,26.5,25.75,25.6875,23,25.8125,true
1687859011.109085755s,45.75,26.5,25.75,25.6875,23,25.8125,true
1687859011.116617684s,45.75,26.5,25.75,25.6875,23,25.8125,true
1687859011.125174602s,45.75,26.5,24.75,25.6875,23,25.75,true
1687859011.132675531s,45.75,26.5,24.75,25.6875,23,25.75,true
1687859011.140278459s,45.75,26.5,24.75,25.6875,23,25.75,true
1687859011.148922377s,45.75,26.5,24.75,25.6875,23,25.75,true
1687859011.156418306s,45.75,26.5,24.75,25.6875,22,25.75,true
1687859011.164559229s,45.75,26.5,24.75,25.75,22,25.75,true
1687859011.172771151s,45.75,26.5,24.75,25.75,22,25.75,true
1687859011.180415079s,45.75,26.5,24.75,25.75,22,25.75,true
1687859011.189034997s,45.75,26.5,24.75,25.75,22,25.75,true
1687859011.196249928s,45.75,26.5,21.75,25.75,22,25.75,true
1687859011.204795847s,45.75,26.5,21.75,25.75,22,25.75,true
1687859011.212368776s,45.75,26.5,21.75,25.75,22,25.75,true
1687859011.220992694s,45.75,26.5,21.75,25.75,22,25.75,true
1687859011.228608622s,45.75,26.5,21.75,25.75,22,25.75,true
1687859011.236369548s,45.75,26.5,21.75,25.6875,22,25.75,true
1687859011.245368463s,45.75,26.5,21.75,25.6875,22,25.75,true
1687859011.25299439s,45.75,26.5,21.75,25.6875,22,25.75,true
1687859011.260613318s,45.75,26.5,21.75,25.6875,22,25.75,true
1687859011.268236246s,45.75,26.5,23.75,25.6875,22,25.75,true
1687859011.276774165s,45.75,26.5,23.75,25.6875,22,25.75,true
1687859011.430884703s,46,26.5,23.5,25.75,24.5,25.8125,true
1687859011.437083645s,46,26.5,23.5,25.75,24.5,25.8125,true
1687859011.445195568s,46,26.5,23.5,25.75,24.5,25.8125,true
1687859011.452976494s,46,26.5,23.5,25.75,23.25,25.8125,true
1687859011.460934419s,46,26.5,23.5,25.6875,23.25,25.8125,true
1687859011.468571346s,46,26.5,23.5,25.6875,23.25,25.8125,true
1687859011.477116265s,46,26.5,23.5,25.6875,23.25,25.8125,true
1687859011.484877191s,46,26.5,23.5,25.6875,23.25,25.8125,true
1687859011.49244812s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.501073038s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.508480968s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.517079886s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.525176809s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.532685738s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.540456664s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.548913584s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.557010507s,46,26.5,23.25,25.6875,23.25,25.75,true
1687859011.565104431s,46,26.5,25.75,25.6875,23.25,25.75,true
1687859011.572686359s,46,26.5,25.75,25.6875,23.25,25.8125,true
1687859011.580320286s,46,26.5,25.75,25.6875,23.25,25.8125,true
1687859011.588875205s,46,26.5,25.75,25.6875,23.25,25.8125,true
1687859011.597022128s,46,26.5,25.75,25.6875,23.25,25.8125,true
1687859011.60521005s,46,26.5,25.75,25.6875,21.75,25.8125,true
1687859011.612752979s,46,26.5,25.75,25.6875,21.75,25.8125,true
1687859011.620365907s,46,26.5,25.75,25.6875,21.75,25.8125,true
1687859011.629016825s,46,26.5,25.75,25.6875,21.75,25.8125,true
1687859011.636536753s,46,26.5,25.75,25.6875,21.75,25.8125,true
1687859011.644673676s,46,26.5,23.75,25.6875,21.75,25.75,true
1687859011.652223605s,46,26.5,23.75,25.6875,21.75,25.75,true
1687859011.66112152s,46,26.5,23.75,25.6875,21.75,25.75,true
1687859011.668859447s,46,26.5,23.75,25.6875,21.75,25.75,true
1687859011.676446375s,46,26.5,23.75,25.6875,21.5,25.75,true
1687859011.685037293s,46,26.5,23.75,25.6875,21.5,25.75,true
1687859011.692588222s,46,26.5,23.75,25.6875,21.5,25.75,true
1687859011.700239149s,46,26.5,23.75,25.6875,21.5,25.75,true
1687859011.708857068s,46,26.5,23.75,25.6875,21.5,25.75,true
1687859011.716411996s,46,26.5,21.5,25.6875,21.5,25.75,true
1687859011.724997915s,46,26.5,21.5,25.6875,21.5,25.75,true
1687859011.732530843s,46,26.5,21.5,25.6875,21.5,25.75,true
1687859011.741561757s,46.25,26.5,21.5,25.6875,21.5,25.75,true
1687859011.749420683s,46.25,26.5,21.5,25.6875,21.5,25.75,true
1687859011.756682614s,46.25,26.5,21.5,25.75,21.5,25.75,true
1687859011.764230542s,46.25,26.5,21.5,25.75,21.5,25.75,true
1687859011.772835461s,46.25,26.5,21.5,25.75,21.5,25.75,true
1687859011.780611387s,46.25,26.5,21.5,25.75,21.5,25.75,true
1687859011.788237315s,46.25,26.5,24,25.75,21.5,25.75,true
1687859011.796782234s,46.25,26.5,24,25.75,21.5,25.8125,true
1687859011.948949791s,46.25,26.5,22.25,25.6875,24.5,25.75,true
1687859011.95646272s,46.25,26.5,22.25,25.6875,24.5,25.75,true
1687859011.965169637s,46.25,26.5,22.25,25.6875,24.5,25.75,true
1687859011.972707566s,46.25,26.5,22.25,25.6875,21.75,25.75,true
1687859011.980492492s,46.25,26.5,22.25,25.6875,21.75,25.75,true
1687859011.988424417s,46.25,26.5,22.25,25.6875,21.75,25.75,true
1687859011.996983335s,46.25,26.5,22.25,25.6875,21.75,25.75,true
1687859012.004515264s,46.25,26.5,22.25,25.6875,21.75,25.75,true
1687859012.013046183s,46.25,26.5,23.25,25.6875,21.75,25.75,true
1687859012.172286673s,46.5,26.4375,24,25.6875,24.75,25.75,true
1687859012.180531595s,46.5,26.4375,24,25.6875,24.75,25.75,true
1687859012.189052514s,46.5,26.4375,24,25.6875,24.75,25.75,true
1687859012.196991439s,46.5,26.4375,24,25.6875,23.5,25.75,true
1687859012.204560367s,46.5,26.4375,24,25.6875,23.5,25.75,true
1687859012.213276284s,46.5,26.4375,24,25.6875,23.5,25.75,true
1687859012.220909212s,46.5,26.5,24,25.6875,23.5,25.75,true
1687859012.228558139s,46.5,26.5,24,25.6875,23.5,25.75,true
1687859012.237113058s,46.5,26.5,21.75,25.6875,23.5,25.8125,true
1687859012.244661987s,46.5,26.5,21.75,25.6875,23.5,25.8125,true
1687859012.252516912s,46.5,26.5,21.75,25.6875,23.5,25.8125,true
1687859012.261910823s,46.5,26.5,21.75,25.6875,23.5,25.8125,true
1687859012.26858876s,46.5,26.5,21.75,25.6875,23.5,25.8125,true
1687859012.277967671s,46.5,26.5,21.75,25.6875,22.25,25.8125,true
1687859012.2854826s,46.5,26.5,21.75,25.6875,22.25,25.8125,true
1687859012.293022528s,46.5,26.5,21.75,25.6875,22.25,25.8125,true
1687859012.300946453s,46.5,26.5,21.75,25.6875,22.25,25.8125,true
1687859012.308999377s,46.5,26.5,24.25,25.6875,22.25,25.8125,true
1687859012.316332307s,46.5,26.5,24.25,25.6875,22.25,25.75,true
1687859012.324938225s,46.5,26.5,24.25,25.6875,22.25,25.75,true
1687859012.333172147s,46.5,26.5,24.25,25.6875,22.25,25.75,true
1687859012.340494078s,46.5,26.5,24.25,25.6875,22.25,25.75,true
1687859012.348886998s,46.5,26.5,24.25,25.6875,22,25.75,true
1687859012.356529926s,46.5,26.5,24.25,25.6875,22,25.75,true
1687859012.364609849s,46.5,26.5,24.25,25.6875,22,25.75,true
1687859012.372252777s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.381021694s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.388666621s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.396827544s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.405167465s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.412280397s,46.5,26.4375,24.25,25.6875,22,25.75,true
1687859012.420930315s,46.5,26.4375,24.25,25.6875,23,25.75,true
1687859012.428638242s,46.5,26.4375,24.25,25.6875,23,25.75,true
1687859012.437185161s,46.5,26.4375,24.25,25.6875,23,25.75,true
1687859012.444759089s,46.5,26.5,24.25,25.6875,23,25.75,true
1687859012.452836013s,46.5,26.5,24.25,25.6875,23,25.75,true
1687859012.460428941s,46.5,26.5,22,25.6875,23,25.75,true
1687859012.469305857s,46.5,26.5,22,25.6875,23,25.75,true
1687859012.477236781s,46.5,26.5,22,25.6875,23,25.75,true
1687859012.48480671s,46.5,26.5,22,25.6875,23,25.75,true
1687859012.492344638s,46.5,26.5,22,25.6875,23,25.75,true
1687859012.500818558s,46.5,26.5,22,25.6875,21.25,25.75,true
1687859012.508570484s,46.5,26.5,22,25.6875,21.25,25.75,true
1687859012.517104403s,46.5,26.5,22,25.6875,21.25,25.75,true
1687859012.525152327s,46.5,26.5,22,25.6875,21.25,25.75,true
1687859012.532759255s,46.5,26.5,24.5,25.6875,21.25,25.75,true
1687859012.692732738s,46.75,26.5,23.25,25.75,24.5,25.75,true
1687859012.70091566s,46.75,26.5,23.25,25.75,24.5,25.75,true
1687859012.708414589s,46.75,26.5,23.25,25.75,24.5,25.75,true
1687859012.717204506s,46.75,26.5,23.25,25.75,24,25.75,true
1687859012.724515436s,46.75,26.5,23.25,25.75,24,25.75,true
1687859012.733201354s,46.75,26.5,23.25,25.75,24,25.75,true
1687859012.740785282s,46.75,26.4375,23.25,25.75,24,25.75,true
1687859012.748484209s,46.75,26.4375,23.25,25.75,24,25.75,true
1687859012.756551133s,46.75,26.4375,22.75,25.75,24,25.75,true
1687859012.76530805s,46.75,26.4375,22.75,25.75,24,25.75,true
1687859012.772829978s,46.75,26.4375,22.75,25.75,24,25.75,true
1687859012.780398907s,46.75,26.4375,22.75,25.75,24,25.75,true
1687859012.789008825s,46.75,26.4375,22.75,25.75,24,25.75,true
1687859012.796542753s,46.75,26.4375,22.75,25.6875,22.75,25.75,true
1687859012.805042673s,46.75,26.4375,22.75,25.6875,22.75,25.75,true
1687859012.812575601s,46.75,26.4375,22.75,25.6875,22.75,25.75,true
1687859012.820333528s,46.75,26.5,22.75,25.6875,22.75,25.75,true
1687859012.828321452s,46.75,26.5,26.25,25.6875,22.75,25.75,true
1687859012.836867371s,46.75,26.5,26.25,25.6875,22.75,25.75,true
1687859012.844435299s,46.75,26.5,26.25,25.6875,22.75,25.75,true
1687859012.853474214s,46.75,26.5,26.25,25.6875,22.75,25.75,true
1687859012.861006142s,46.75,26.5,26.25,25.6875,22.75,25.75,true
1687859012.86858807s,46.75,26.5,26.25,25.6875,23.25,25.75,true
1687859012.876892991s,46.75,26.5,26.25,25.6875,23.25,25.75,true
1687859012.88445992s,46.75,26.5,26.25,25.6875,23.25,25.75,true
1687859012.893004839s,46.75,26.5,26.25,25.6875,23.25,25.75,true
1687859012.900602767s,46.75,26.5,23.5,25.6875,23.25,25.75,true
1687859012.908220694s,46.75,26.5,23.5,25.6875,23.25,25.75,true
1687859012.916795613s,46.75,26.5,23.5,25.6875,23.25,25.75,true
1687859012.924348541s,46.75,26.5,23.5,25.6875,23.25,25.75,true
1687859012.933160458s,46.75,26.5,23.5,25.6875,23.25,25.75,true
1687859012.94027939s,46.75,26.5,23.5,25.6875,22.5,25.75,true
1687859012.948860309s,46.75,26.5,23.5,25.6875,22.5,25.75,true
1687859012.956319238s,46.75,26.5,23.5,25.6875,22.5,25.75,true
1687859012.964856157s,46.75,26.5,23.5,25.6875,22.5,25.75,true
1687859012.972335086s,46.75,26.5,22,25.6875,22.5,25.75,true
1687859012.981153003s,46.75,26.5,22,25.6875,22.5,25.8125,true
1687859012.988767931s,46.75,26.5,22,25.6875,22.5,25.8125,true
1687859012.996328859s,47,26.5,22,25.6875,22.5,25.8125,true
1687859013.004897778s,47,26.5,22,25.6875,22.5,25.8125,true
1687859013.012459706s,47,26.5,22,25.75,22.5,25.8125,true
1687859013.021077624s,47,26.5,22,25.75,21.75,25.8125,true
1687859013.028671552s,47,26.5,22,25.75,21.75,25.8125,true
1687859013.036448478s,47,26.5,22,25.75,21.75,25.8125,true
1687859013.044975398s,47,26.5,22,25.75,21.75,25.8125,true
1687859013.052482326s,47,26.5,24.5,25.75,21.75,25.8125,true
1687859013.212279811s,47.25,26.4375,23,25.6875,24.75,25.8125,true
1687859013.220617732s,47.25,26.4375,23,25.6875,24.75,25.8125,true
1687859013.228903654s,47.25,26.4375,23,25.6875,24.75,25.8125,true
1687859013.237093576s,47.25,26.4375,23,25.6875,24.25,25.8125,true
1687859013.244414506s,47.25,26.4375,23,25.6875,24.25,25.8125,true
1687859013.252968425s,47.25,26.4375,23,25.6875,24.25,25.8125,true
1687859013.261503344s,47.25,26.4375,23,25.6875,24.25,25.8125,true
1687859013.269157272s,47.25,26.4375,23,25.6875,24.25,25.8125,true
1687859013.276657201s,47.25,26.4375,23,25.6875,24.25,25.75,true
1687859013.437111679s,47.25,26.5,24,25.6875,24.5,25.75,true
1687859013.444273611s,47.25,26.5,24,25.6875,24.5,25.75,true
1687859013.452985529s,47.25,26.5,24,25.6875,24.5,25.75,true
1687859013.460588457s,47.25,26.5,24,25.6875,23.75,25.75,true
1687859013.468212384s,47.25,26.5,24,25.6875,23.75,25.75,true
1687859013.476766303s,47.25,26.5,24,25.6875,23.75,25.75,true
1687859013.484292232s,47.25,26.5,24,25.6875,23.75,25.75,true
1687859013.492850151s,47.25,26.5,21.75,25.6875,23.75,25.75,true
1687859013.500434079s,47.25,26.5,21.75,25.6875,23.75,25.75,true
1687859013.509052997s,47.25,26.5,21.75,25.6875,23.75,25.75,true
1687859013.516261929s,47.5,26.5,21.75,25.6875,23.75,25.75,true
1687859013.525357842s,47.5,26.5,21.75,25.6875,23.75,25.75,true
1687859013.533638764s,47.5,26.5,21.75,25.6875,23.75,25.75,true
1687859013.541149693s,47.5,26.5,21.75,25.6875,23.25,25.75,true
1687859013.549060618s,47.5,26.5,21.75,25.6875,23.25,25.75,true
1687859013.556696545s,47.5,26.5,21.75,25.6875,23.25,25.75,true
1687859013.564500471s,47.5,26.5,21.75,25.6875,23.25,25.75,true
1687859013.572935391s,47.5,26.5,24.5,25.6875,23.25,25.75,true
1687859013.732960874s,47.5,26.5,22,25.6875,24.5,25.8125,true
1687859013.741107796s,47.5,26.5,22,25.6875,24.5,25.8125,true
1687859013.748382727s,47.5,26.5,22,25.6875,24.5,25.8125,true
1687859013.756941646s,47.5,26.5,22,25.6875,23.75,25.8125,true
1687859013.765684563s,47.5,26.5,22,25.6875,23.75,25.8125,true
1687859013.77340849s,47.5,26.5,22,25.6875,23.75,25.8125,true
1687859013.78078642s,47.5,26.5,22,25.6875,23.75,25.8125,true
1687859013.789077342s,47.5,26.5,24,25.6875,23.75,25.8125,true
1687859013.796497271s,47.5,26.5,24,25.6875,23.75,25.75,true
1687859013.948186833s,47.75,26.5,23.5,25.6875,24.5,25.75,true
1687859013.95690875s,47.75,26.5,23.5,25.6875,24.5,25.75,true
1687859013.965054673s,47.75,26.5,23.5,25.6875,24.5,25.75,true
1687859013.973149596s,47.75,26.5,23.5,25.6875,24.5,25.75,true
1687859013.980657525s,47.75,26.5,23.5,25.6875,20.75,25.75,true
1687859013.989548441s,47.75,26.5,23.5,25.6875,20.75,25.75,true
1687859013.997170368s,47.75,26.5,23.5,25.6875,20.75,25.75,true
1687859014.005346291s,47.75,26.5,23.5,25.6875,20.75,25.75,true
1687859014.012914219s,47.75,26.5,22.5,25.6875,20.75,25.75,true
1687859014.020536147s,47.75,26.5,22.5,25.6875,20.75,25.8125,true
1687859014.029169065s,47.75,26.5,22.5,25.6875,20.75,25.8125,true
1687859014.036892992s,47.75,26.5,22.5,25.6875,20.75,25.8125,true
1687859014.04443692s,47.75,26.5,22.5,25.6875,20.75,25.8125,true
1687859014.05285084s,47.75,26.5,22.5,25.6875,20.75,25.8125,true
1687859014.060991763s,47.75,26.5,22.5,25.6875,22.5,25.8125,true
1687859014.068939688s,47.75,26.5,22.5,25.6875,22.5,25.8125,true
1687859014.077446607s,47.75,26.5,22.5,25.6875,22.5,25.8125,true
1687859014.08558053s,47.75,26.5,25.5,25.6875,22.5,25.8125,true
1687859014.092243467s,47.75,26.5,25.5,25.6875,22.5,25.8125,true
1687859014.100631387s,47.75,26.5,25.5,25.6875,22.5,25.75,true
1687859014.108246315s,47.75,26.5,25.5,25.6875,22.5,25.75,true
1687859014.116786234s,47.75,26.5,25.5,25.6875,22.5,25.75,true
1687859014.124334162s,47.75,26.5,25.5,25.6875,22.5,25.75,true
1687859014.132925081s,47.75,26.5,25.5,25.6875,21.25,25.75,true
1687859014.140527009s,47.75,26.5,25.5,25.6875,21.25,25.75,true
1687859014.149165927s,47.75,26.4375,25.5,25.6875,21.25,25.75,true
1687859014.156573857s,47.75,26.4375,25.5,25.6875,21.25,25.75,true
1687859014.165151775s,47.75,26.4375,24.75,25.6875,21.25,25.75,true
1687859014.172719704s,47.75,26.4375,24.75,25.6875,21.25,25.75,true
1687859014.180978625s,47.75,26.4375,24.75,25.6875,21.25,25.75,true
1687859014.188750552s,47.75,26.4375,24.75,25.6875,21.25,25.75,true
1687859014.197044473s,47.75,26.4375,24.75,25.6875,21.25,25.75,true
1687859014.204607401s,47.75,26.4375,24.75,25.6875,23.5,25.75,true
1687859014.212303328s,47.75,26.4375,24.75,25.6875,23.5,25.75,true
1687859014.221058245s,47.75,26.4375,24.75,25.6875,23.5,25.75,true
1687859014.229100169s,47.75,26.5,24.75,25.6875,23.5,25.75,true
1687859014.236651097s,47.75,26.5,21.5,25.6875,23.5,25.75,true
1687859014.244225026s,47.75,26.5,21.5,25.6875,23.5,25.75,true
1687859014.252787944s,47.75,26.5,21.5,25.6875,23.5,25.75,true
1687859014.260979867s,47.75,26.5,21.5,25.6875,23.5,25.75,true
1687859014.269422787s,47.75,26.5,21.5,25.6875,23.5,25.75,true
1687859014.277960706s,47.75,26.5,21.5,25.6875,22.25,25.75,true
1687859014.284946639s,47.75,26.5,21.5,25.6875,22.25,25.75,true
1687859014.292783565s,47.75,26.5,21.5,25.6875,22.25,25.75,true
1687859014.300508492s,47.75,26.5,21.5,25.6875,22.25,25.75,true
1687859014.308977412s,47.75,26.5,23.5,25.6875,22.25,25.75,true
1687859014.31652034s,47.75,26.5,23.5,25.6875,22.25,25.75,true
1687859014.468666897s,48,26.5,23.25,25.6875,24.75,25.8125,true
1687859014.47680382s,48,26.5,23.25,25.6875,24.75,25.8125,true
1687859014.484857744s,48,26.5,23.25,25.6875,24.75,25.8125,true
1687859014.492546671s,48,26.5,23.25,25.6875,24.75,25.8125,true
1687859014.501189589s,48,26.5,23.25,25.6875,22.75,25.8125,true
1687859014.508886516s,48,26.5,23.25,25.6875,22.75,25.8125,true
1687859014.516612443s,48,26.5,23.25,25.6875,22.75,25.8125,true
1687859014.525163362s,48,26.4375,23.25,25.6875,22.75,25.8125,true
1687859014.53271929s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.540339218s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.548993136s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.557053059s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.564628987s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.573148907s,48,26.4375,22.25,25.6875,22.75,25.8125,true
1687859014.580926833s,48,26.4375,22.25,25.6875,20.75,25.8125,true
1687859014.58858876s,48,26.4375,22.25,25.6875,20.75,25.8125,true
1687859014.597239678s,48,26.5,22.25,25.6875,20.75,25.8125,true
1687859014.604814606s,48,26.5,26.25,25.6875,20.75,25.8125,true
1687859014.612960529s,48,26.5,26.25,25.6875,20.75,25.8125,true
1687859014.620745455s,48,26.5,26.25,25.6875,20.75,25.75,true
1687859014.628390383s,48,26.5,26.25,25.6875,20.75,25.75,true
1687859014.636943302s,48,26.5,26.25,25.6875,20.75,25.75,true
1687859014.64452723s,48,26.5,26.25,25.6875,20.75,25.75,true
1687859014.653066149s,48,26.5,26.25,25.6875,23.25,25.75,true
