time,boilerTempC,groupheadTempC,heatLevel
1691003632101,35.0,33.5,0.0
1691003632194,35.0,33.5,0.5
1691003632286,35.0,33.5,0.5
1691003632377,35.0,33.5,0.5
1691003632469,35.0,33.5,0.5
1691003632568,35.0,33.5,0.5
1691003632661,35.0,33.5,0.5
1691003632753,35.0,33.5,0.5
1691003632845,35.0,33.5,0.5
1691003632937,35.0,33.5,0.5
1691003633028,35.0,33.5,0.5
1691003633119,35.0,33.5,0.5
1691003633210,35.0,33.5,0.5
1691003633303,35.0,33.5,0.5
1691003633395,35.0,33.5,0.5
1691003633486,35.0,33.5,0.5
1691003633578,35.0,33.5,0.5
1691003633670,35.0,33.5,0.5
1691003633762,35.0,33.5,0.5
1691003633854,35.0,33.5,0.5
1691003633946,35.0,33.5,0.5
1691003634037,35.0,33.5,0.5
1691003634128,35.0,33.5,0.5
1691003634220,35.0,33.5,0.5
1691003634312,35.0,33.5,0.5
1691003634404,35.0,33.5,0.5
1691003634496,35.0,33.5,0.5
1691003634587,35.0,33.5,0.5
1691003634678,35.0,33.5,0.5
1691003634769,35.0,33.5,0.5
1691003634860,35.0,33.5,0.5
1691003634952,35.0,33.5,0.5
1691003635043,35.0,33.5,0.5
1691003635135,35.0,33.5,0.5
1691003635227,35.0,33.5,0.5
1691003635319,35.0,33.5,0.5
1691003635410,35.0,33.5,0.5
1691003635502,35.0,33.5,0.5
1691003635594,35.0,33.5,0.5
1691003635686,35.0,33.5,0.5
1691003635777,35.0,33.5,0.5
1691003635868,35.0,33.5,0.5
1691003635960,35.0,33.5,0.5
1691003636051,35.0,33.5,0.5
1691003636143,35.0,33.5,0.5
1691003636235,35.0,33.5,0.5
1691003636326,35.0,33.5,0.5
1691003636418,35.0,33.5,0.5
1691003636511,35.0,33.5,0.5
1691003636603,35.0,33.5,0.5
1691003636695,35.0,33.5,0.5
1691003636787,35.0,33.5,0.5
1691003636878,35.0,33.5,0.5
1691003636970,35.0,33.5,0.5
1691003637062,35.0,33.5,0.5
1691003637154,35.0,33.5,0.5
1691003637246,35.0,33.5,0.5
1691003637337,35.0,33.5,0.5
1691003637430,35.0,33.5,0.5
1691003637522,35.0,33.5,0.5
1691003637614,35.0,33.5,0.5
1691003637706,35.0,33.5,0.5
1691003637797,35.0,33.5,0.5
1691003637889,35.0,33.5,0.5
1691003637981,35.0,33.5,0.5
1691003638073,35.0,33.5,0.5
1691003638165,35.0,33.5,0.5
1691003638256,35.0,33.5,0.5
1691003638348,35.0,33.5,0.5
1691003638439,35.0,33.5,0.5
1691003638532,35.0,33.5,0.5
1691003638623,35.0,33.5,0.5
1691003638714,35.0,33.5,0.5
1691003638805,35.0,33.5,0.5
1691003638897,35.0,33.5,0.5
1691003638990,35.0,33.5,0.5
1691003639082,35.0,33.5,0.5
1691003639173,35.0,33.5,0.5
1691003639264,35.0,33.5,0.5
1691003639356,35.0,33.5,0.5
1691003639448,35.0,33.5,0.5
1691003639539,35.0,33.5,0.5
1691003639631,35.0,33.5,0.5
1691003639722,35.0,33.5,0.5
1691003639814,35.0,33.5,0.5
1691003639906,35.0,33.5,0.5
1691003639997,35.0,33.5,0.5
1691003640089,35.0,33.5,0.5
1691003640181,35.0,33.5,0.5
1691003640273,35.0,33.5,0.5
1691003640365,35.0,33.5,0.5
1691003640456,35.0,33.5,0.5
1691003640549,35.0,33.5,0.5
1691003640641,35.0,33.5,0.5
1691003640732,35.0,33.5,0.5
1691003640823,35.0,33.5,0.5
1691003640915,35.0,33.5,0.5
1691003641006,35.0,33.5,0.5
1691003641098,35.0,33.5,0.5
1691003641189,35.0,33.5,0.5
1691003641282,35.0,33.5,0.5
1691003641373,35.0,33.5,0.5
1691003641466,35.0,33.5,0.5
1691003641558,35.0,33.5,0.5
1691003641650,35.0,33.5,0.5
1691003641742,35.0,33.5,0.5
1691003641834,35.0,33.5,0.5
1691003641926,35.0,33.5,0.5
1691003642017,35.0,33.5,0.5
1691003642108,35.0,33.5,0.5
1691003642201,35.0,33.5,0.5
1691003642292,35.0,33.5,0.5
1691003642384,35.0,33.5,0.5
