time,boilerTempC,groupheadTempC,heatLevel
1690999946821,35.0,33.25,0.4
1690999946914,35.0,33.25,0.4
1690999947005,35.0,33.5,0.4
1690999947098,35.0,33.25,0.4
1690999947190,35.0,33.5,0.4
1690999947282,35.0,33.25,0.4
1690999947374,35.0,33.25,0.4
1690999947466,35.0,33.5,0.4
1690999947557,35.0,33.25,0.4
1690999947649,35.0,33.25,0.4
1690999947742,35.0,33.5,0.4
1690999947833,35.0,33.25,0.4
1690999947925,35.0,33.25,0.4
1690999948016,35.0,33.5,0.4
1690999948107,35.0,33.25,0.4
1690999948200,35.0,33.25,0.4
1690999948291,35.0,33.25,0.4
1690999948384,35.0,33.25,0.4
1690999948476,35.0,33.5,0.4
1690999948568,35.0,33.5,0.4
1690999948660,35.0,33.5,0.4
1690999948752,35.0,33.5,0.4
1690999948844,35.0,33.25,0.4
1690999948936,35.0,33.25,0.4
1690999949027,35.0,33.25,0.4
1690999949118,35.0,33.5,0.4
1690999949210,35.0,33.25,0.4
1690999949301,35.0,33.25,0.4
1690999949392,35.0,33.5,0.4
1690999949483,35.0,33.25,0.4
1690999949575,35.0,33.5,0.4
1690999949666,35.0,33.25,0.4
1690999949758,35.0,33.25,0.4
1690999949850,35.0,33.5,0.4
1690999949942,35.0,33.5,0.4
1690999950034,35.0,33.25,0.4
1690999950125,35.0,33.25,0.4
1690999950217,35.0,33.25,0.4
1690999950310,35.0,33.25,0.4
1690999950402,35.0,33.5,0.4
1690999950493,35.0,33.25,0.4
1690999950585,35.0,33.25,0.4
1690999950676,35.0,33.5,0.4
1690999950768,35.0,33.25,0.4
1690999950860,35.0,33.25,0.4
1690999950951,35.0,33.5,0.4
1690999951042,35.0,33.25,0.4
1690999951134,35.0,33.25,0.4
1690999951225,35.0,33.25,0.4
1690999951318,35.0,33.25,0.4
1690999951410,35.0,33.5,0.4
1690999951502,35.0,33.25,0.4
1690999951594,35.0,33.25,0.4
1690999951685,35.0,33.25,0.4
1690999951777,35.0,33.25,0.4
1690999951869,35.0,33.25,0.4
1690999951960,35.0,33.25,0.4
1690999952053,35.0,33.25,0.4
1690999952145,35.0,33.25,0.4
1690999952236,35.0,33.25,0.4
1690999952328,35.0,33.25,0.4
1690999952419,35.0,33.25,0.4
1690999952512,35.0,33.25,0.4
1690999952604,35.0,33.25,0.4
1690999952695,35.0,33.25,0.4
1690999952786,35.0,33.5,0.4
1690999952878,35.0,33.5,0.4
1690999952971,35.0,33.25,0.4
1690999953062,35.0,33.25,0.4
1690999953154,35.0,33.25,0.4
1690999953246,35.0,33.25,0.4
1690999953337,35.0,33.25,0.4
1690999953430,35.0,33.25,0.4
1690999953522,35.0,33.25,0.4
1690999953614,35.0,33.5,0.4
1690999953705,35.0,33.25,0.4
1690999953796,35.0,33.25,0.4
1690999953888,35.0,33.5,0.4
1690999953981,35.0,33.25,0.4
1690999954072,35.0,33.25,0.4
1690999954164,35.0,33.25,0.4
1690999954256,35.0,33.25,0.4
1690999954347,35.0,33.25,0.4
1690999954440,35.0,33.25,0.4
1690999954532,35.0,33.25,0.4
1690999954623,35.0,33.25,0.4
1690999954715,35.0,33.25,0.4
1690999954806,35.0,33.25,0.4
1690999954898,35.0,33.25,0.4
1690999954990,35.0,33.5,0.4
1690999955081,35.0,33.25,0.4
1690999955173,35.0,33.25,0.4
1690999955265,35.0,33.25,0.4
1690999955356,35.0,33.25,0.4
1690999955447,35.0,33.5,0.4
1690999955540,35.0,33.25,0.4
1690999955632,35.0,33.25,0.4
1690999955723,35.0,33.25,0.4
1690999955815,35.0,33.25,0.4
1690999955906,35.0,33.25,0.4
1690999955998,35.0,33.5,0.4
1690999956091,35.0,33.25,0.4
1690999956183,35.0,33.25,0.4
1690999956275,35.0,33.5,0.4
1690999956366,35.0,33.25,0.4
1690999956459,35.0,33.25,0.4
1690999956550,35.0,33.25,0.4
1690999956642,35.0,33.25,0.4
1690999956734,35.0,33.25,0.4
1690999956826,35.0,33.5,0.4
1690999956918,35.0,33.25,0.4
1690999957009,35.0,33.25,0.4
1690999957101,35.0,33.25,0.4
1690999957193,35.0,33.25,0.4
1690999957285,35.0,33.25,0.4
1690999957377,35.0,33.25,0.4
