time,target_temp_c,boiler_temp_c,grouphead_temp_c,thermofilter_temp_c,power,pull,steam,heat_level
1691510322254,90.0,53.5,44.5,,1,0,0,0.0
1691510322346,90.0,53.75,44.5,,1,0,0,0.5
1691510322437,90.0,53.75,44.5,,1,0,0,0.5
1691510322530,90.0,53.75,44.5,,1,0,0,0.5
1691510322622,90.0,53.75,44.5,,1,0,0,0.5
1691510322713,90.0,53.75,44.5,,1,0,0,0.5
1691510322805,90.0,53.75,44.5,,1,0,0,0.5
1691510322896,90.0,53.75,44.5,,1,0,0,0.5
1691510322988,90.0,53.75,44.5,,1,0,0,0.5
1691510323079,90.0,53.75,44.5,,1,0,0,0.5
1691510323171,90.0,53.75,44.5,,1,0,0,0.5
1691510323263,90.0,53.75,44.5,,1,0,0,0.5
1691510323355,90.0,53.75,44.5,,1,0,0,0.5
1691510323447,90.0,53.75,44.5,,1,0,0,0.5
1691510323538,90.0,53.75,44.5,,1,0,0,0.5
1691510323630,90.0,53.75,44.5,,1,0,0,0.5
1691510323721,90.0,53.75,44.5,,1,0,0,0.5
1691510323813,90.0,53.75,44.5,,1,0,0,0.5
1691510323905,90.0,53.75,44.5,,1,0,0,0.5
1691510323997,90.0,53.75,44.5,,1,0,0,0.5
1691510324089,90.0,53.75,44.5,,1,0,0,0.5
1691510324181,90.0,53.75,44.5,,1,0,0,0.5
1691510324273,90.0,53.75,44.5,,1,0,0,0.5
1691510324365,90.0,53.75,44.5,,1,0,0,0.5
1691510324457,90.0,53.75,44.5,,1,0,0,0.5
1691510324549,90.0,53.75,44.5,,1,0,0,0.5
1691510324641,90.0,53.75,44.5,,1,0,0,0.5
1691510324733,90.0,53.75,44.5,,1,0,0,0.5
1691510324825,90.0,53.75,44.5,,1,0,0,0.5
1691510324917,90.0,53.75,44.5,,1,0,0,0.5
1691510325009,90.0,53.75,44.5,,1,0,0,0.5
1691510325101,90.0,53.75,44.5,,1,0,0,0.5
1691510325193,90.0,53.75,44.5,,1,0,0,0.5
1691510325285,90.0,53.75,44.5,,1,0,0,0.5
1691510325377,90.0,53.75,44.5,,1,0,0,0.5
1691510325468,90.0,53.75,44.5,,1,0,0,0.5
1691510325559,90.0,53.75,44.5,,1,0,0,0.5
1691510325651,90.0,53.75,44.5,,1,0,0,0.5
1691510325743,90.0,53.5,44.5,,1,0,0,0.5
1691510325835,90.0,53.75,44.5,,1,0,0,0.5
1691510325927,90.0,53.75,44.5,,1,0,0,0.5
1691510326018,90.0,53.75,44.5,,1,0,0,0.5
1691510326110,90.0,53.75,44.5,,1,0,0,0.5
1691510326201,90.0,53.75,44.5,,1,0,0,0.5
1691510326292,90.0,53.75,44.5,,1,0,0,0.5
1691510326385,90.0,53.75,44.5,,1,0,0,0.5
1691510326477,90.0,53.75,44.5,,1,0,0,0.5
1691510326569,90.0,53.75,44.5,,1,0,0,0.5
1691510326660,90.0,53.75,44.5,,1,0,0,0.5
1691510326751,90.0,53.75,44.5,,1,0,0,0.5
1691510326842,90.0,53.75,44.5,,1,0,0,0.5
1691510326933,90.0,53.75,44.5,,1,0,0,0.5
1691510327024,90.0,53.5,44.5,,1,0,0,0.5
1691510327115,90.0,53.75,44.5,,1,0,0,0.5
1691510327207,90.0,53.75,44.5,,1,0,0,0.5
1691510327299,90.0,53.75,44.5,,1,0,0,0.5
1691510327391,90.0,53.75,44.5,,1,0,0,0.5
1691510327483,90.0,53.75,44.5,,1,0,0,0.5
1691510327575,90.0,53.75,44.5,,1,0,0,0.5
1691510327667,90.0,53.75,44.5,,1,0,0,0.5
1691510327759,90.0,53.75,44.5,,1,0,0,0.5
1691510327851,90.0,53.75,44.5,,1,0,0,0.5
1691510327943,90.0,53.75,44.5,,1,0,0,0.5
1691510328034,90.0,53.5,44.5,,1,0,0,0.5
1691510328127,90.0,53.75,44.5,,1,0,0,0.5
1691510328218,90.0,53.75,44.5,,1,0,0,0.5
1691510328309,90.0,53.75,44.5,,1,0,0,0.5
1691510328401,90.0,53.75,44.5,,1,0,0,0.5
1691510328493,90.0,53.5,44.5,,1,0,0,0.5
1691510328584,90.0,53.75,44.5,,1,0,0,0.5
1691510328677,90.0,53.75,44.5,,1,0,0,0.5
1691510328769,90.0,53.75,44.5,,1,0,0,0.5
1691510328861,90.0,53.75,44.5,,1,0,0,0.5
1691510328953,90.0,53.5,44.5,,1,0,0,0.5
1691510329045,90.0,53.75,44.5,,1,0,0,0.5
1691510329137,90.0,53.75,44.5,,1,0,0,0.5
1691510329228,90.0,53.75,44.5,,1,0,0,0.5
1691510329319,90.0,53.5,44.5,,1,0,0,0.5
1691510329411,90.0,53.75,44.5,,1,0,0,0.5
1691510329502,90.0,53.75,44.5,,1,0,0,0.5
1691510329595,90.0,53.75,44.5,,1,0,0,0.5
1691510329687,90.0,53.75,44.5,,1,0,0,0.5
1691510329778,90.0,53.75,44.5,,1,0,0,0.5
1691510329869,90.0,53.75,44.5,,1,0,0,0.5
1691510329961,90.0,53.75,44.5,,1,0,0,0.5
1691510330053,90.0,53.5,44.5,,1,0,0,0.5
1691510330145,90.0,53.75,44.5,,1,0,0,0.5
1691510330236,90.0,53.75,44.5,,1,0,0,0.5
1691510330328,90.0,53.75,44.5,,1,0,0,0.5
1691510330420,90.0,53.75,44.5,,1,0,0,0.5
1691510330511,90.0,53.75,44.5,,1,0,0,0.5
1691510330602,90.0,53.5,44.5,,1,0,0,0.5
1691510330695,90.0,53.75,44.5,,1,0,0,0.5
1691510330786,90.0,53.5,44.5,,1,0,0,0.5
1691510330877,90.0,53.5,44.5,,1,0,0,0.5
1691510330969,90.0,53.75,44.5,,1,0,0,0.5
1691510331060,90.0,53.75,44.5,,1,0,0,0.5
1691510331151,90.0,53.75,44.5,,1,0,0,0.5
1691510331244,90.0,53.5,44.5,,1,0,0,0.5
1691510331335,90.0,53.75,44.5,,1,0,0,0.5
1691510331427,90.0,53.75,44.5,,1,0,0,0.5
1691510331519,90.0,53.75,44.5,,1,0,0,0.5
1691510331610,90.0,53.75,44.5,,1,0,0,0.5
