time,target_temp_c,boiler_temp_c,grouphead_temp_c,thermofilter_temp_c,power,pull,steam,heat_level
1691509594589,90.0,53.5,41.5,,1,0,0,0.0
1691509594680,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509594772,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509594863,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509594955,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595047,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595138,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595230,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595321,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509595413,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595505,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595597,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595689,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595780,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595871,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509595963,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596055,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509596147,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596238,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509596330,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596422,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596513,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509596605,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509596697,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596788,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596879,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509596972,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597064,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597156,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597248,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597339,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597431,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597522,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509597615,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509597707,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597799,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509597890,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509597983,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598075,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509598166,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598257,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598348,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598440,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598532,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598623,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598715,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509598806,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598897,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509598989,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599081,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599173,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599265,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599357,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599449,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509599541,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599633,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599725,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509599817,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509599909,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509600001,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509600093,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509600185,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509600277,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509600368,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509600460,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509600552,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509600643,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509600735,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509600827,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509600919,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509601011,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601103,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601194,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601285,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601376,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601468,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509601559,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509601650,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601742,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509601833,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509601925,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602016,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509602108,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509602201,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509602292,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602384,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509602475,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602567,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509602659,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602750,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602841,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509602933,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509603024,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509603117,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509603209,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509603301,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509603393,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509603485,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509603577,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509603669,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509603760,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509603851,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509603942,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604035,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509604126,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604218,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604309,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509604401,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604492,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604585,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509604676,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509604768,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509604859,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509604951,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605043,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605134,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605227,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509605318,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605409,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509605502,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605593,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509605684,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509605776,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509605868,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509605960,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509606052,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509606143,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509606235,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606327,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606419,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509606511,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606602,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606694,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509606786,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606878,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509606969,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509607061,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509607153,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509607245,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509607337,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509607429,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509607521,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509607613,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509607704,90.0,53.75,41.75,,1,0,0,0.300000011920929
1691509607797,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509607889,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509607980,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608072,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509608163,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509608256,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608347,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608439,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509608530,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608621,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509608713,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608805,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509608897,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509608989,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509609081,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509609172,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509609264,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509609355,90.0,53.75,41.5,,1,0,0,0.300000011920929
1691509609447,90.0,53.5,41.5,,1,0,0,0.300000011920929
1691509609539,90.0,53.5,41.75,,1,0,0,0.300000011920929
1691509609630,90.0,53.5,41.75,,1,0,0,0.0
1691509609723,90.0,53.5,41.5,,1,0,0,0.0
1691509609815,90.0,53.5,41.5,,1,0,0,0.0
1691509609906,90.0,53.5,41.5,,1,0,0,0.0
1691509609997,90.0,53.5,41.5,,1,0,0,0.0
1691509610089,90.0,53.5,41.5,,1,0,0,0.0
1691509610181,90.0,53.5,41.5,,1,0,0,0.0
1691509610272,90.0,53.5,41.75,,1,0,0,0.0
1691509610364,90.0,53.5,41.5,,1,0,0,0.0
1691509610456,90.0,53.5,41.75,,1,0,0,0.0
1691509610548,90.0,53.5,41.75,,1,0,0,0.0
1691509610640,90.0,53.5,41.75,,1,0,0,0.0
1691509610732,90.0,53.75,41.5,,1,0,0,0.0
1691509610823,90.0,53.5,41.5,,1,0,0,0.0
1691509610915,90.0,53.5,41.5,,1,0,0,0.0
1691509611006,90.0,53.5,41.75,,1,0,0,0.0
1691509611097,90.0,53.5,41.75,,1,0,0,0.0
1691509611188,90.0,53.5,41.75,,1,0,0,0.0
1691509611280,90.0,53.5,41.75,,1,0,0,0.0
1691509611372,90.0,53.5,41.5,,1,0,0,0.0
1691509611463,90.0,53.5,41.5,,1,0,0,0.0
1691509611555,90.0,53.75,41.75,,1,0,0,0.0
1691509611646,90.0,53.5,41.75,,1,0,0,0.0
1691509611738,90.0,53.75,41.75,,1,0,0,0.0
1691509611829,90.0,53.5,41.75,,1,0,0,0.0
1691509611920,90.0,53.75,41.75,,1,0,0,0.0
