time,target_temp_c,boiler_temp_c,grouphead_temp_c,thermofilter_temp_c,power,pull,steam,heat_level
1691512411787,90.0,53.75,47.25,,1,0,0,0.0
1691512411879,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512411971,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412062,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512412155,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412246,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412337,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412429,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412521,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412613,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512412705,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412797,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412889,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512412981,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512413073,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512413165,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512413256,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512413348,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512413440,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512413532,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512413623,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512413715,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512413806,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512413898,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512413990,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414082,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414173,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512414264,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414356,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512414447,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414539,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414630,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512414722,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512414813,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512414905,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512414996,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415087,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415180,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512415272,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415363,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415455,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512415548,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415640,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512415732,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415823,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512415916,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416007,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416099,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416192,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416283,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416374,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512416466,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416558,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416650,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512416742,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512416834,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512416925,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417017,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417109,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512417200,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417291,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417384,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512417475,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512417566,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417658,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512417750,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417841,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512417932,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512418023,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418116,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418207,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418299,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418390,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418482,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418573,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418665,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512418757,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512418848,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512418939,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512419031,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419123,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419215,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419306,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512419397,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419489,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419580,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512419672,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512419763,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512419855,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512419947,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512420039,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512420131,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512420223,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512420315,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512420407,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512420499,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512420590,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512420682,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512420773,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512420865,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512420956,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512421047,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512421139,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512421231,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512421323,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512421415,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512421506,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512421598,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512421689,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512421780,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512421872,90.0,53.5,47.0,,1,0,0,0.800000011920929
1691512421963,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512422055,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512422147,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512422239,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512422330,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512422422,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512422513,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512422604,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512422696,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512422787,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512422879,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512422971,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512423062,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512423155,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512423247,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512423338,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512423431,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512423522,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512423615,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512423706,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512423797,90.0,53.5,47.25,,1,0,0,0.800000011920929
1691512423890,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512423982,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512424073,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424166,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424258,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424349,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512424440,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512424532,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424623,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512424715,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512424806,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424898,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512424990,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425082,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425173,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512425265,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512425356,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425448,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512425540,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425632,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425724,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512425816,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425908,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512425999,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512426091,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512426183,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512426274,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512426367,90.0,54.0,47.25,,1,0,0,0.800000011920929
1691512426458,90.0,53.75,47.0,,1,0,0,0.800000011920929
1691512426551,90.0,53.75,47.25,,1,0,0,0.800000011920929
1691512426642,90.0,54.0,47.25,,1,0,0,0.800000011920929
