time,target_temp_c,boiler_temp_c,grouphead_temp_c,thermofilter_temp_c,power,pull,steam,heat_level
1691514406439,90.0,53.75,47.75,,1,0,0,1.0
1691514406531,90.0,53.75,47.75,,1,0,0,1.0
1691514406623,90.0,53.75,47.75,,1,0,0,1.0
1691514406715,90.0,53.75,47.75,,1,0,0,1.0
1691514406807,90.0,53.75,47.75,,1,0,0,1.0
1691514406899,90.0,53.75,47.75,,1,0,0,1.0
1691514406991,90.0,53.75,47.75,,1,0,0,1.0
1691514407082,90.0,53.75,47.75,,1,0,0,1.0
1691514407175,90.0,53.75,47.75,,1,0,0,1.0
1691514407267,90.0,53.75,47.75,,1,0,0,1.0
1691514407359,90.0,53.75,47.75,,1,0,0,1.0
1691514407451,90.0,53.75,47.75,,1,0,0,1.0
1691514407542,90.0,53.75,47.75,,1,0,0,1.0
1691514407633,90.0,53.75,47.75,,1,0,0,1.0
1691514407726,90.0,53.75,47.75,,1,0,0,1.0
1691514407818,90.0,53.75,47.75,,1,0,0,1.0
1691514407910,90.0,53.75,47.75,,1,0,0,1.0
1691514408002,90.0,53.75,47.75,,1,0,0,1.0
1691514408093,90.0,53.5,47.75,,1,0,0,1.0
1691514408185,90.0,53.75,47.75,,1,0,0,1.0
1691514408276,90.0,53.75,47.75,,1,0,0,1.0
1691514408367,90.0,53.75,47.75,,1,0,0,1.0
1691514408459,90.0,53.75,47.75,,1,0,0,1.0
1691514408551,90.0,53.75,47.75,,1,0,0,1.0
1691514408642,90.0,53.75,47.75,,1,0,0,1.0
1691514408734,90.0,53.75,47.75,,1,0,0,1.0
1691514408826,90.0,53.5,47.75,,1,0,0,1.0
1691514408918,90.0,53.75,47.75,,1,0,0,1.0
1691514409009,90.0,53.75,47.75,,1,0,0,1.0
1691514409101,90.0,53.75,47.75,,1,0,0,1.0
1691514409192,90.0,53.75,47.75,,1,0,0,1.0
1691514409284,90.0,53.75,47.75,,1,0,0,1.0
1691514409376,90.0,53.75,47.75,,1,0,0,1.0
1691514409467,90.0,53.75,47.75,,1,0,0,1.0
1691514409559,90.0,53.5,47.75,,1,0,0,1.0
1691514409651,90.0,53.75,47.75,,1,0,0,1.0
1691514409742,90.0,53.75,47.75,,1,0,0,1.0
1691514409835,90.0,53.75,47.75,,1,0,0,1.0
1691514409926,90.0,53.75,47.75,,1,0,0,1.0
1691514410017,90.0,53.75,47.75,,1,0,0,1.0
1691514410109,90.0,53.75,47.75,,1,0,0,1.0
1691514410200,90.0,53.5,47.75,,1,0,0,1.0
1691514410291,90.0,53.5,47.75,,1,0,0,1.0
1691514410383,90.0,53.5,47.75,,1,0,0,1.0
1691514410475,90.0,53.75,47.75,,1,0,0,1.0
1691514410566,90.0,53.75,47.75,,1,0,0,1.0
1691514410658,90.0,53.75,47.75,,1,0,0,1.0
1691514410750,90.0,53.75,47.75,,1,0,0,1.0
1691514410841,90.0,53.75,47.75,,1,0,0,1.0
1691514410933,90.0,53.5,47.75,,1,0,0,1.0
1691514411026,90.0,53.75,47.75,,1,0,0,1.0
1691514411118,90.0,53.5,47.75,,1,0,0,1.0
1691514411210,90.0,53.75,47.75,,1,0,0,1.0
1691514411302,90.0,53.75,47.75,,1,0,0,1.0
1691514411393,90.0,53.5,47.75,,1,0,0,1.0
1691514411485,90.0,53.75,47.75,,1,0,0,1.0
1691514411577,90.0,53.75,47.75,,1,0,0,1.0
1691514411669,90.0,53.5,47.75,,1,0,0,1.0
1691514411760,90.0,53.75,47.75,,1,0,0,1.0
1691514411852,90.0,53.5,47.75,,1,0,0,1.0
1691514411943,90.0,53.75,47.75,,1,0,0,1.0
1691514412035,90.0,53.75,47.75,,1,0,0,1.0
1691514412127,90.0,53.5,47.75,,1,0,0,1.0
1691514412218,90.0,53.75,47.75,,1,0,0,1.0
1691514412310,90.0,53.75,47.75,,1,0,0,1.0
1691514412402,90.0,53.5,47.75,,1,0,0,1.0
1691514412493,90.0,53.75,47.75,,1,0,0,1.0
1691514412585,90.0,53.75,47.75,,1,0,0,1.0
1691514412677,90.0,53.5,47.5,,1,0,0,1.0
1691514412769,90.0,53.75,47.75,,1,0,0,1.0
1691514412861,90.0,53.75,47.75,,1,0,0,1.0
1691514412952,90.0,53.5,47.75,,1,0,0,1.0
1691514413043,90.0,53.5,47.75,,1,0,0,1.0
1691514413136,90.0,53.5,47.75,,1,0,0,1.0
1691514413228,90.0,53.75,47.75,,1,0,0,1.0
1691514413320,90.0,53.75,47.75,,1,0,0,1.0
1691514413411,90.0,53.5,47.75,,1,0,0,1.0
1691514413503,90.0,53.75,47.75,,1,0,0,1.0
1691514413595,90.0,53.75,47.75,,1,0,0,1.0
1691514413687,90.0,53.5,47.75,,1,0,0,1.0
1691514413779,90.0,53.75,47.75,,1,0,0,1.0
1691514413871,90.0,53.75,47.75,,1,0,0,1.0
1691514413962,90.0,53.5,47.75,,1,0,0,1.0
1691514414053,90.0,53.75,47.75,,1,0,0,1.0
1691514414144,90.0,53.5,47.75,,1,0,0,1.0
1691514414237,90.0,53.75,47.75,,1,0,0,1.0
1691514414329,90.0,53.75,47.75,,1,0,0,1.0
1691514414421,90.0,53.5,47.75,,1,0,0,1.0
1691514414513,90.0,53.75,47.75,,1,0,0,1.0
1691514414604,90.0,53.5,47.75,,1,0,0,1.0
1691514414696,90.0,53.5,47.75,,1,0,0,1.0
1691514414788,90.0,53.75,47.75,,1,0,0,1.0
1691514414880,90.0,53.75,47.75,,1,0,0,1.0
1691514414972,90.0,53.5,47.75,,1,0,0,1.0
1691514415063,90.0,53.75,47.75,,1,0,0,1.0
1691514415155,90.0,53.5,47.75,,1,0,0,1.0
1691514415247,90.0,53.5,47.75,,1,0,0,1.0
1691514415339,90.0,53.75,47.75,,1,0,0,1.0
1691514415431,90.0,53.5,47.75,,1,0,0,1.0
