time,boilerTempC,groupheadTempC,heatLevel
1691022586987,35.0,33.0,0.0
1691022587078,35.0,33.0,0.9
1691022587171,35.0,33.0,0.9
1691022587263,35.0,33.0,0.9
1691022587354,35.0,33.0,0.9
1691022587445,35.0,33.0,0.9
1691022587537,35.0,33.0,0.9
1691022587630,35.0,33.0,0.9
1691022587722,35.0,33.0,0.9
1691022587813,35.0,33.0,0.9
1691022587904,35.0,33.0,0.9
1691022587995,35.0,33.0,0.9
1691022588087,35.0,33.0,0.9
1691022588179,35.0,33.0,0.9
1691022588271,35.0,33.0,0.9
1691022588363,35.0,33.0,0.9
1691022588455,35.0,33.0,0.9
1691022588546,35.0,33.0,0.9
1691022588638,35.0,33.0,0.9
1691022588730,34.75,33.0,0.9
1691022588821,35.0,33.0,0.9
1691022588912,35.0,33.0,0.9
1691022589004,35.0,33.0,0.9
1691022589096,35.0,33.0,0.9
1691022589188,35.0,33.0,0.9
1691022589279,35.0,33.0,0.9
1691022589371,35.0,33.0,0.9
1691022589463,35.0,33.0,0.9
1691022589554,35.0,33.0,0.9
1691022589645,35.0,33.0,0.9
1691022589738,34.75,33.0,0.9
1691022589830,35.0,33.0,0.9
1691022589940,35.0,33.0,0.9
1691022590031,35.0,33.0,0.9
1691022590123,35.0,33.0,0.9
1691022590214,35.0,33.0,0.9
1691022590305,35.0,33.0,0.9
1691022590397,35.0,33.0,0.9
1691022590489,34.75,33.0,0.9
1691022590580,35.0,33.0,0.9
1691022590671,35.0,33.0,0.9
1691022590763,35.0,33.0,0.9
1691022590854,35.0,33.0,0.9
1691022590946,35.0,33.0,0.9
1691022591038,35.0,33.0,0.9
1691022591130,35.0,33.0,0.9
1691022591222,35.0,33.0,0.9
1691022591314,35.0,33.0,0.9
1691022591405,35.0,33.0,0.9
1691022591496,35.0,33.0,0.9
1691022591589,35.0,33.0,0.9
1691022591681,35.0,33.0,0.9
1691022591772,35.0,33.0,0.9
1691022591864,35.0,33.0,0.9
1691022591955,35.0,33.0,0.9
1691022592047,35.0,33.0,0.9
1691022592138,35.0,33.0,0.9
1691022592231,35.0,33.0,0.9
1691022592322,35.0,33.0,0.9
1691022592413,35.0,33.0,0.9
1691022592505,35.0,33.0,0.9
1691022592596,35.0,33.0,0.9
1691022592689,35.0,33.0,0.9
1691022592781,34.75,33.0,0.9
1691022592872,35.0,33.0,0.9
1691022592963,35.0,33.0,0.9
1691022593054,35.0,33.0,0.9
1691022593146,35.0,33.0,0.9
1691022593237,35.0,33.0,0.9
1691022593330,35.0,33.0,0.9
1691022593421,35.0,33.0,0.9
1691022593513,35.0,33.0,0.9
1691022593605,35.0,33.0,0.9
1691022593697,35.0,33.0,0.9
1691022593789,35.0,33.0,0.9
1691022593881,35.0,33.0,0.9
1691022593972,35.0,33.0,0.9
1691022594064,35.0,33.0,0.9
1691022594156,35.0,33.0,0.9
1691022594247,35.0,33.0,0.9
1691022594340,35.0,33.0,0.9
1691022594431,35.0,33.0,0.9
1691022594523,35.0,33.0,0.9
1691022594615,35.0,33.0,0.9
1691022594707,35.0,33.0,0.9
1691022594798,35.0,33.0,0.9
1691022594890,35.0,33.0,0.9
1691022594981,35.0,33.0,0.9
1691022595073,35.0,33.0,0.9
1691022595164,35.0,33.0,0.9
1691022595255,35.0,33.0,0.9
1691022595346,35.0,33.0,0.9
1691022595437,34.75,33.0,0.9
1691022595530,35.0,33.0,0.9
1691022595621,35.0,33.0,0.9
1691022595714,35.0,33.0,0.9
1691022595805,35.0,33.0,0.9
1691022595897,34.75,33.0,0.9
1691022595989,35.0,33.0,0.9
1691022596081,35.0,33.0,0.9
1691022596173,35.0,33.0,0.9
1691022596264,35.0,33.0,0.9
1691022596355,35.0,33.0,0.9
1691022596447,35.0,33.0,0.9
1691022596539,35.0,33.0,0.9
1691022596631,35.0,33.0,0.9
1691022596722,35.0,33.0,0.9
1691022596814,35.0,33.0,0.9
1691022596906,35.0,33.0,0.9
1691022596997,35.0,33.0,0.9
1691022597090,35.0,33.0,0.9
1691022597181,35.0,33.0,0.9
1691022597273,34.75,33.0,0.9
1691022597365,35.0,33.0,0.9
1691022597457,35.0,33.0,0.9
1691022597549,35.0,33.0,0.9
1691022597640,35.0,33.0,0.9
1691022597732,35.0,33.0,0.9
1691022597823,35.0,33.0,0.9
1691022597915,35.0,33.0,0.9
1691022598006,35.0,33.0,0.9
1691022598098,35.0,33.0,0.9
1691022598190,35.0,33.0,0.9
1691022598281,35.0,33.0,0.9
1691022598373,35.0,33.0,0.9
1691022598465,35.0,33.0,0.9
1691022598557,35.0,33.0,0.9
1691022598648,35.0,33.0,0.9
1691022598741,35.0,33.0,0.9
1691022598833,35.0,33.0,0.9
1691022598925,35.0,33.0,0.9
1691022599017,35.0,33.0,0.9
1691022599108,35.0,33.0,0.9
1691022599199,35.0,33.0,0.9
1691022599290,35.0,33.0,0.9
1691022599382,35.0,33.0,0.9
1691022599473,35.0,33.0,0.9
1691022599565,35.0,33.0,0.9
1691022599657,35.0,33.0,0.9
1691022599750,35.0,33.0,0.9
1691022599842,35.0,33.0,0.9
1691022599934,35.0,33.0,0.9
1691022600025,35.0,33.0,0.9
1691022600116,35.0,33.0,0.9
1691022600208,35.0,33.0,0.9
1691022600300,35.0,33.0,0.9
1691022600391,35.0,33.0,0.9
1691022600482,35.0,33.0,0.9
1691022600574,35.0,33.0,0.9
1691022600666,35.0,33.0,0.9
1691022600757,35.0,33.0,0.9
1691022600850,35.0,33.0,0.9
1691022600941,35.0,33.0,0.9
1691022601033,35.0,33.0,0.9
1691022601124,35.0,33.0,0.9
1691022601217,35.0,33.0,0.9
1691022601308,35.0,33.0,0.9
1691022601400,35.0,33.0,0.9
1691022601491,35.0,33.0,0.9
1691022601583,35.0,33.0,0.9
1691022601675,35.0,33.0,0.9
1691022601767,35.0,33.0,0.9
1691022601859,35.0,33.0,0.9
1691022601950,35.0,33.0,0.9
1691022602042,35.0,33.0,0.9
1691022602134,35.0,33.0,0.9
1691022602225,35.0,33.0,0.9
1691022602316,35.0,33.0,0.9
1691022602407,35.0,33.0,0.9
1691022602500,35.0,33.0,0.9
1691022602591,35.0,33.0,0.9
1691022602684,35.0,33.0,0.9
1691022602775,35.0,33.0,0.9
1691022602866,35.0,33.0,0.9
1691022602959,35.0,33.0,0.9
1691022603050,35.0,33.0,0.9
1691022603142,35.0,33.0,0.9
1691022603233,35.0,33.0,0.9
1691022603325,35.0,33.0,0.9
1691022603417,35.0,33.0,0.9
1691022603508,35.0,33.0,0.9
1691022603599,35.0,33.0,0.9
1691022603691,35.0,33.0,0.9
1691022603783,35.0,33.0,0.9
1691022603874,35.0,33.0,0.9
1691022603966,35.0,33.0,0.9
1691022604057,35.0,33.0,0.9
1691022604149,35.0,33.0,0.9
1691022604241,35.0,33.0,0.9
1691022604333,35.0,33.0,0.9
1691022604425,35.0,33.0,0.9
1691022604517,35.0,33.0,0.9
1691022604608,35.0,33.0,0.9
1691022604701,35.0,33.0,0.9
1691022604792,35.0,33.0,0.9
1691022604884,35.0,33.0,0.9
1691022604976,35.0,33.0,0.9
1691022605068,35.0,33.0,0.9
1691022605159,35.0,33.0,0.9
1691022605251,35.0,33.0,0.9
1691022605343,35.0,33.0,0.9
1691022605434,35.0,33.0,0.9
1691022605526,35.0,33.0,0.9
1691022605617,35.0,33.0,0.9
1691022605710,35.0,33.0,0.9
1691022605801,35.0,33.0,0.9
1691022605892,35.0,33.0,0.9
1691022605983,35.0,33.0,0.9
1691022606075,35.0,33.0,0.9
1691022606166,35.0,33.0,0.9
1691022606257,35.0,33.0,0.9
1691022606349,35.0,33.0,0.9
1691022606442,35.25,33.0,0.9
1691022606533,35.0,33.0,0.9
1691022606625,35.25,33.0,0.9
1691022606716,35.0,33.0,0.9
1691022606809,35.25,33.0,0.9
1691022606901,35.0,33.0,0.9
1691022606993,35.0,33.0,0.9
1691022607085,35.0,33.0,0.9
1691022607177,35.0,33.0,0.9
1691022607269,35.0,33.0,0.9
1691022607360,35.25,33.0,0.9
1691022607452,35.0,33.0,0.9
1691022607544,35.0,33.0,0.9
1691022607635,35.25,33.0,0.9
1691022607727,35.0,33.0,0.9
1691022607818,35.25,33.0,0.9
1691022607910,35.0,33.0,0.9
1691022608001,35.25,33.0,0.9
1691022608093,35.25,33.0,0.9
1691022608185,35.25,33.0,0.9
1691022608276,35.25,33.0,0.9
1691022608369,35.0,33.0,0.9
1691022608460,35.0,33.0,0.9
1691022608551,35.25,33.0,0.9
1691022608643,35.25,33.0,0.9
1691022608734,35.25,33.0,0.9
1691022608826,35.25,33.0,0.9
1691022608917,35.0,33.0,0.9
1691022609008,35.0,33.0,0.9
1691022609100,35.25,33.0,0.9
1691022609191,35.25,33.0,0.9
1691022609284,35.25,33.0,0.9
1691022609376,35.25,33.0,0.9
1691022609467,35.25,33.0,0.9
1691022609559,35.25,33.0,0.9
1691022609651,35.25,33.0,0.9
1691022609743,35.25,33.0,0.9
1691022609834,35.25,33.0,0.9
1691022609926,35.25,33.0,0.9
1691022610017,35.25,33.0,0.9
1691022610110,35.25,33.0,0.9
1691022610202,35.25,33.0,0.9
1691022610293,35.25,33.0,0.9
1691022610384,35.25,33.0,0.9
1691022610476,35.25,33.0,0.9
1691022610567,35.25,33.0,0.9
