time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687731922.271221185s,53.25,31.0625,31.25,30.3125,35.25,30.5
1687731922.278965112s,53.25,31.0625,31.25,30.3125,35.25,30.5
1687731922.287221035s,53.25,31.0625,31.25,30.3125,35.25,30.4375
1687731922.294746964s,53.25,31.0625,33,30.3125,35.25,30.4375
1687731922.30256889s,53.25,31.0625,33,30.3125,35.25,30.4375
1687731922.310900812s,53.25,31.0625,33,30.3125,35.25,30.4375
1687731922.319175734s,53.25,31.0625,33,30.3125,34.5,30.4375
1687731922.326433666s,53.25,31.125,33,30.3125,34.5,30.4375
1687731922.335086585s,53.25,31.125,33,30.25,34.5,30.4375
1687731922.342359517s,53.25,31.125,33,30.25,34.5,30.4375
1687731922.350696438s,53.25,31.125,33,30.25,34.5,30.4375
1687731922.358152368s,53.25,31.125,33,30.25,34.5,30.5
1687731922.366399291s,53.25,31.125,35,30.25,34.5,30.5
1687731922.447669527s,53.25,31.125,32.25,30.25,34.75,30.5
1687731922.450023505s,53.25,31.125,32.25,30.25,34.75,30.5
1687731922.454273465s,53.25,31.125,32.25,30.25,34.75,30.5
1687731922.462507388s,53.25,31.125,32.25,30.25,34.75,30.5
1687731922.47082531s,53.25,31.125,32.25,30.25,35,30.5
1687731922.479139232s,53.25,31.125,32.25,30.25,35,30.5
1687731922.486660161s,53.25,31.125,32.25,30.25,35,30.5
1687731922.494943083s,53.25,31.125,32.25,30.25,35,30.5
1687731922.503119006s,53.25,31.125,32.25,30.25,35,30.5
1687731922.510377938s,53.25,31.125,30.75,30.25,35,30.4375
1687731922.518600861s,53.25,31.125,30.75,30.25,35,30.4375
1687731922.526859783s,53.25,31.125,30.75,30.25,35,30.4375
1687731922.535105706s,53.25,31.125,30.75,30.25,35,30.4375
1687731922.542312638s,53.25,31.125,30.75,30.25,34.5,30.4375
1687731922.550891557s,53.25,31.125,30.75,30.25,34.5,30.4375
1687731922.559220479s,53.25,31.125,30.75,30.25,34.5,30.4375
1687731922.566490411s,53.25,31.125,30.75,30.25,34.5,30.4375
1687731922.574743333s,53.25,31.125,30.75,30.25,34.5,30.4375
1687731922.582970256s,53.25,31.125,30.75,30.25,34.5,30.5
1687731922.591246178s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.59855111s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.606823032s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.614198963s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.622410886s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.630737807s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.639092729s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.646333661s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.654543584s,53.25,31.125,34.75,30.25,34.5,30.5
1687731922.662900505s,53.25,31.125,33.25,30.25,34.5,30.5
1687731922.671790422s,53.25,31.125,33.25,30.25,34.5,30.5
1687731922.678176362s,53.25,31.125,33.25,30.25,34.5,30.5
1687731922.686491283s,53.25,31.125,33.25,30.25,34.5,30.5
1687731922.694775206s,53.25,31.125,33.25,30.25,34.5,30.5
1687731922.702954129s,53.25,31.125,33.25,30.3125,34.5,30.5
1687731922.711229051s,53.25,31.125,33.25,30.3125,34.5,30.5
1687731922.718496983s,53.25,31.125,33.25,30.3125,34.5,30.5
1687731922.726730905s,53.25,31.125,33.25,30.3125,34.5,30.5
1687731922.735017828s,53.25,31.125,30.5,30.3125,34.5,30.5
1687731922.74225076s,53.25,31.125,30.5,30.3125,34.5,30.5
1687731922.750584681s,53.25,31.125,30.5,30.3125,34.5,30.5
1687731922.758824604s,53.25,31.125,30.5,30.3125,34.5,30.5
1687731922.767052527s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731922.774889453s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731922.783162375s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731922.790417307s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731922.79864923s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731922.80719415s,53.25,31.125,33,30.3125,34.25,30.5
1687731922.814451081s,53.25,31.125,33,30.3125,34.25,30.5
1687731922.966623652s,53.25,31.125,32,30.25,35.25,30.5
1687731922.96897263s,53.25,31.125,32,30.25,35.25,30.5
1687731922.975777566s,53.25,31.125,32,30.25,35.25,30.5
1687731922.983038497s,53.25,31.125,32,30.25,35.25,30.5
1687731922.990358429s,53.25,31.0625,32,30.25,35,30.5
1687731922.998872349s,53.25,31.0625,32,30.25,35,30.5
1687731923.007136271s,53.25,31.0625,32,30.25,35,30.5
1687731923.014410203s,53.25,31.0625,32,30.25,35,30.5
1687731923.022611126s,53.25,31.0625,32,30.25,35,30.5
1687731923.030933048s,53.25,31.0625,31.75,30.25,35,30.5
1687731923.039435968s,53.25,31.0625,31.75,30.25,35,30.5
1687731923.188937563s,53.25,31.0625,33.25,30.3125,35.25,30.4375
1687731923.191288541s,53.25,31.0625,33.25,30.3125,35.25,30.4375
1687731923.198623472s,53.25,31.0625,33.25,30.3125,35.25,30.4375
1687731923.206888394s,53.25,31.0625,33.25,30.3125,35.25,30.4375
1687731923.215327315s,53.25,31.125,33.25,30.3125,35,30.4375
1687731923.222529248s,53.25,31.125,33.25,30.3125,35,30.4375
1687731923.230874169s,53.25,31.125,33.25,30.3125,35,30.4375
1687731923.239119092s,53.25,31.125,33.25,30.3125,35,30.4375
1687731923.246301024s,53.25,31.125,33.25,30.3125,35,30.4375
1687731923.254748945s,53.25,31.125,28.75,30.3125,35,30.5
1687731923.262904868s,53.25,31.125,28.75,30.3125,35,30.5
1687731923.271133791s,53.25,31.125,28.75,30.3125,35,30.5
1687731923.278411723s,53.25,31.125,28.75,30.3125,35,30.5
1687731923.286939642s,53.25,31.125,28.75,30.3125,29.75,30.5
1687731923.294451572s,53.25,31.125,28.75,30.3125,29.75,30.5
1687731923.303225489s,53.25,31.125,28.75,30.3125,29.75,30.5
1687731923.310484421s,53.25,31.125,28.75,30.3125,29.75,30.5
1687731923.319015341s,53.25,31.125,28.75,30.3125,29.75,30.5
1687731923.327202264s,53.25,31.125,30.75,30.3125,29.75,30.5
1687731923.334390197s,53.25,31.125,30.75,30.3125,29.75,30.5
1687731923.34256612s,53.25,31.125,30.75,30.3125,29.75,30.5
1687731923.350852042s,53.25,31.125,30.75,30.3125,29.75,30.5
1687731923.359112964s,53.25,31.125,30.75,30.3125,30,30.5
1687731923.366614894s,53.25,31.125,30.75,30.25,30,30.5
1687731923.374844817s,53.25,31.125,30.75,30.25,30,30.5
1687731923.382204747s,53.25,31.125,30.75,30.25,30,30.5
1687731923.390517669s,53.25,31.125,30.75,30.25,30,30.5
1687731923.398704592s,53.25,31.125,30.75,30.25,30,30.5
1687731923.406894515s,53.25,31.125,30.75,30.25,30,30.5
1687731923.415063439s,53.25,31.125,30.75,30.25,30,30.5
1687731923.422594368s,53.25,31.125,30.75,30.25,30,30.5
1687731923.431190287s,53.25,31.125,30.75,30.25,30,30.5
1687731923.438637217s,53.25,31.125,30.75,30.25,34.25,30.5
1687731923.44689714s,53.25,31.125,30.75,30.3125,34.25,30.5
1687731923.455097063s,53.25,31.125,30.75,30.3125,34.25,30.5
1687731923.462298995s,53.25,31.125,30.75,30.3125,34.25,30.5
1687731923.472075903s,53.25,31.125,30.75,30.3125,34.25,30.4375
1687731923.479534833s,53.25,31.125,29,30.3125,34.25,30.4375
1687731923.486770765s,53.25,31.125,29,30.3125,34.25,30.4375
1687731923.495039687s,53.25,31.125,29,30.3125,34.25,30.4375
1687731923.50327861s,53.25,31.125,29,30.3125,34.25,30.4375
1687731923.510946538s,53.25,31.125,29,30.3125,33.75,30.4375
1687731923.51925346s,53.25,31.125,29,30.3125,33.75,30.4375
1687731923.526513392s,53.25,31.125,29,30.3125,33.75,30.4375
1687731923.534782314s,53.25,31.125,29,30.3125,33.75,30.4375
1687731923.543014237s,53.25,31.125,29,30.3125,33.75,30.4375
1687731923.550330168s,53.25,31.125,32.5,30.3125,33.75,30.5
1687731923.55857709s,53.25,31.125,32.5,30.3125,33.75,30.5
1687731923.70767669s,53.25,31.0625,32.25,30.3125,35.25,30.5
1687731923.710031668s,53.25,31.0625,32.25,30.3125,35.25,30.5
1687731923.71831159s,53.25,31.0625,32.25,30.3125,35.25,30.5
1687731923.726618512s,53.25,31.0625,32.25,30.3125,35.25,30.5
1687731923.734892434s,53.25,31.125,32.25,30.3125,35.25,30.5
1687731923.743108357s,53.25,31.125,32.25,30.25,35.25,30.5
1687731923.750390288s,53.25,31.125,32.25,30.25,35.25,30.5
1687731923.758640211s,53.25,31.125,32.25,30.25,35.25,30.5
1687731923.767173131s,53.25,31.125,32.25,30.25,35.25,30.5
1687731923.774925058s,53.25,31.125,32,30.25,35.25,30.5
1687731923.783142981s,53.25,31.125,32,30.25,35.25,30.5
1687731923.790461912s,53.25,31.125,32,30.25,35.25,30.5
1687731923.798703834s,53.25,31.125,32,30.25,35.25,30.5
1687731923.806966757s,53.25,31.0625,32,30.25,34.5,30.5
1687731923.815237679s,53.25,31.0625,32,30.25,34.5,30.5
1687731923.822450611s,53.25,31.0625,32,30.25,34.5,30.5
1687731923.831034531s,53.25,31.0625,32,30.25,34.5,30.5
1687731923.838336462s,53.25,31.0625,32,30.25,34.5,30.5
1687731923.846680384s,53.25,31.0625,35,30.25,34.5,30.5
1687731923.854916306s,53.25,31.0625,35,30.25,34.5,30.5
1687731923.863123229s,53.25,31.0625,35,30.25,34.5,30.5
1687731923.870880156s,53.25,31.0625,35,30.25,34.5,30.5
1687731923.879199078s,53.25,31.125,35,30.25,34.75,30.5
1687731923.88645401s,53.25,31.125,35,30.25,34.75,30.5
1687731923.895040929s,53.25,31.125,35,30.25,34.75,30.5
1687731923.903209853s,53.25,31.125,35,30.25,34.75,30.5
1687731923.910515784s,53.25,31.125,35,30.25,34.75,30.5
1687731923.91838271s,53.25,31.125,32.25,30.25,34.75,30.5
1687731923.926648632s,53.25,31.125,32.25,30.25,34.75,30.5
1687731923.934815556s,53.25,31.125,32.25,30.25,34.75,30.5
1687731923.943077478s,53.25,31.125,32.25,30.25,34.75,30.5
1687731923.950399409s,53.25,31.125,32.25,30.25,34.75,30.5
1687731923.958893329s,53.25,31.125,32.25,30.3125,34.75,30.5
1687731923.967124252s,53.25,31.125,32.25,30.3125,34.75,30.5
1687731923.974391184s,53.25,31.125,32.25,30.3125,34.75,30.5
1687731923.982620107s,53.25,31.125,32.25,30.3125,34.75,30.5
1687731923.990946028s,53.25,31.125,32.25,30.3125,34.75,30.5
1687731923.99927795s,53.25,31.125,30.5,30.3125,34.75,30.5
1687731924.006564882s,53.25,31.125,30.5,30.3125,34.75,30.5
1687731924.014811804s,53.25,31.125,30.5,30.3125,34.75,30.5
1687731924.022185735s,53.25,31.125,30.5,30.3125,34.75,30.5
1687731924.030560656s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731924.038790579s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731924.047068501s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731924.054307433s,53.25,31.125,30.5,30.3125,34.25,30.5
1687731924.062525356s,53.25,31.125,30.5,30.3125,34.25,30.5
