time,boilerTempC,groupheadTempC,heatLevel
1690997135158,35.0,33.25,0.0
1690997135251,35.0,33.0,0.0
1690997135342,35.0,33.25,0.3
1690997135434,35.0,33.0,0.3
1690997135525,35.0,33.0,0.3
1690997135617,35.0,33.0,0.3
1690997135710,35.0,33.0,0.3
1690997135802,35.0,33.25,0.3
1690997135893,35.0,33.0,0.3
1690997135985,35.0,33.0,0.3
1690997136077,35.0,33.25,0.3
1690997136168,35.0,33.0,0.3
1690997136261,35.0,33.0,0.3
1690997136353,35.0,33.0,0.3
1690997136445,35.0,33.0,0.3
1690997136537,35.0,33.25,0.3
1690997136628,35.0,33.0,0.3
1690997136720,35.0,33.0,0.3
1690997136812,35.0,33.0,0.3
1690997136903,35.0,33.0,0.3
1690997136994,35.0,33.0,0.3
1690997137087,35.0,33.0,0.3
1690997137178,35.0,33.0,0.3
1690997137270,35.0,33.0,0.3
1690997137361,35.0,33.0,0.3
1690997137453,34.75,33.0,0.3
1690997137545,35.0,33.0,0.3
1690997137636,35.0,33.0,0.3
1690997137728,35.0,33.0,0.3
1690997137820,35.0,33.0,0.3
1690997137912,35.0,33.0,0.3
1690997138004,35.0,33.0,0.3
1690997138096,35.0,33.0,0.3
1690997138187,35.0,33.0,0.3
1690997138280,35.0,33.0,0.3
1690997138372,35.0,33.0,0.3
1690997138464,35.0,33.0,0.3
1690997138555,35.0,33.0,0.3
1690997138647,35.0,33.0,0.3
1690997138738,35.0,33.0,0.3
1690997138831,35.0,33.0,0.3
1690997138923,35.0,33.0,0.3
1690997139015,35.0,33.25,0.3
1690997139106,35.0,33.0,0.3
1690997139197,35.0,33.25,0.3
1690997139290,35.0,33.0,0.3
1690997139382,35.0,33.25,0.3
1690997139474,35.0,33.0,0.3
1690997139566,35.0,33.0,0.3
1690997139657,35.0,33.25,0.3
1690997139750,35.0,33.0,0.3
1690997139842,35.0,33.0,0.3
1690997139934,35.0,33.0,0.3
1690997140026,35.0,33.0,0.3
1690997140117,35.0,33.0,0.3
1690997140208,34.75,33.0,0.3
1690997140299,35.0,33.25,0.3
1690997140391,35.0,33.0,0.3
1690997140483,35.0,33.0,0.3
1690997140574,35.0,33.0,0.3
1690997140665,35.0,33.0,0.3
1690997140757,35.0,33.0,0.3
1690997140849,35.0,33.0,0.3
1690997140942,35.0,33.0,0.3
1690997141033,35.0,33.0,0.3
1690997141125,35.0,33.25,0.3
1690997141217,35.0,33.25,0.3
1690997141308,35.0,33.0,0.3
1690997141400,35.0,33.0,0.3
1690997141492,35.0,33.25,0.3
1690997141583,35.0,33.0,0.3
1690997141674,35.0,33.0,0.3
1690997141765,35.0,33.0,0.3
1690997141857,35.0,33.0,0.3
1690997141948,35.0,33.0,0.3
1690997142039,35.0,33.0,0.3
1690997142131,35.0,33.0,0.3
1690997142224,35.0,33.0,0.3
1690997142316,35.0,33.0,0.3
1690997142407,35.0,33.0,0.3
1690997142499,35.0,33.0,0.3
1690997142591,35.0,33.0,0.3
1690997142683,35.0,33.0,0.3
1690997142775,35.0,33.0,0.3
1690997142867,35.0,33.0,0.3
1690997142958,35.0,33.0,0.3
1690997143050,35.0,33.25,0.3
1690997143142,35.0,33.0,0.3
1690997143234,35.0,33.25,0.3
1690997143326,35.0,33.0,0.3
1690997143417,35.0,33.0,0.3
1690997143510,35.0,33.0,0.3
1690997143602,35.0,33.0,0.3
1690997143694,35.0,33.0,0.3
1690997143786,35.0,33.0,0.3
1690997143877,35.0,33.0,0.3
1690997143970,35.0,33.0,0.3
1690997144061,35.0,33.0,0.3
1690997144154,34.75,33.0,0.3
1690997144246,35.0,33.0,0.3
1690997144338,35.0,33.25,0.3
1690997144429,35.0,33.0,0.3
1690997144522,35.0,33.0,0.3
1690997144614,35.0,33.0,0.3
1690997144706,35.0,33.0,0.3
1690997144797,35.0,33.0,0.3
1690997144889,35.0,33.0,0.3
1690997144981,35.0,33.0,0.3
1690997145072,35.0,33.0,0.3
1690997145163,35.0,33.25,0.3
1690997145256,35.0,33.0,0.3
1690997145347,35.0,33.0,0.3
1690997145440,35.0,33.25,0.3
1690997145532,35.0,33.25,0.3
1690997145624,34.75,33.0,0.3
1690997145716,35.0,33.0,0.3
1690997145808,35.0,33.0,0.3
1690997145900,35.0,33.0,0.3
1690997145991,35.0,33.0,0.3
1690997146082,35.0,33.0,0.3
1690997146174,35.0,33.0,0.3
1690997146265,35.0,33.0,0.3
1690997146356,34.75,33.0,0.3
1690997146449,35.0,33.0,0.3
1690997146541,35.0,33.0,0.3
1690997146633,35.0,33.0,0.3
1690997146724,35.0,33.0,0.3
1690997146816,35.0,33.0,0.3
1690997146907,35.0,33.25,0.3
1690997146998,35.0,33.0,0.3
1690997147091,35.0,33.0,0.3
1690997147183,35.0,33.0,0.3
1690997147274,35.0,33.0,0.3
1690997147365,35.0,33.0,0.3
1690997147458,35.0,33.25,0.3
1690997147550,34.75,33.0,0.3
1690997147641,35.0,33.0,0.3
1690997147733,35.0,33.0,0.3
1690997147825,35.0,33.25,0.3
1690997147916,35.0,33.25,0.3
1690997148008,35.0,33.0,0.3
1690997148100,35.0,33.0,0.3
1690997148192,35.0,33.25,0.3
1690997148283,35.0,33.0,0.3
1690997148376,35.0,33.0,0.3
1690997148467,35.0,33.0,0.3
1690997148560,35.0,33.0,0.3
1690997148652,35.0,33.25,0.3
1690997148743,35.0,33.0,0.3
1690997148834,35.0,33.25,0.3
1690997148925,35.0,33.0,0.3
1690997149016,35.0,33.0,0.3
1690997149108,35.0,33.0,0.3
1690997149200,35.0,33.0,0.3
1690997149292,35.0,33.0,0.3
1690997149384,35.0,33.0,0.3
1690997149476,35.0,33.0,0.3
1690997149567,35.0,33.0,0.3
1690997149658,35.0,33.0,0.3
1690997149751,35.0,33.0,0.3
1690997149842,35.0,33.0,0.3
1690997149934,35.0,33.0,0.3
1690997150025,35.0,33.0,0.3
1690997150116,35.0,33.0,0.3
1690997150207,35.0,33.0,0.3
1690997150298,35.0,33.0,0.3
1690997150389,35.0,33.0,0.3
1690997150480,35.0,33.0,0.3
1690997150571,35.0,33.0,0.3
1690997150663,35.0,33.0,0.3
1690997150754,35.0,33.0,0.3
1690997150845,35.0,33.0,0.3
1690997150936,35.0,33.0,0.3
1690997151028,34.75,33.0,0.3
1690997151120,35.0,33.0,0.3
1690997151212,35.0,33.0,0.3
1690997151304,35.0,33.0,0.3
1690997151396,35.0,33.0,0.3
1690997151487,35.0,33.0,0.3
1690997151578,35.0,33.0,0.3
