time,boilerTempC,groupheadTempC,heatLevel
1690994557360,34.75,32.5,0.0
1690994557451,34.5,32.5,0.0
1690994557543,34.5,32.5,0.1
1690994557636,34.5,32.5,0.1
1690994557728,34.5,32.5,0.1
1690994557820,34.5,32.5,0.1
1690994557911,34.5,32.5,0.1
1690994558003,34.5,32.5,0.1
1690994558095,34.75,32.5,0.1
1690994558186,34.5,32.5,0.1
1690994558279,34.5,32.5,0.1
1690994558371,34.5,32.5,0.1
1690994558463,34.75,32.5,0.1
1690994558555,34.5,32.5,0.1
1690994558646,34.5,32.5,0.1
1690994558738,34.5,32.5,0.1
1690994558829,34.5,32.5,0.1
1690994558921,34.5,32.5,0.1
1690994559013,34.5,32.5,0.1
1690994559105,34.5,32.5,0.1
1690994559197,34.75,32.5,0.1
1690994559288,34.5,32.5,0.1
1690994559380,34.5,32.5,0.1
1690994559472,34.5,32.5,0.1
1690994559564,34.5,32.5,0.1
1690994559655,34.5,32.5,0.1
1690994559747,34.75,32.5,0.1
1690994559839,34.5,32.5,0.1
1690994559930,34.5,32.5,0.1
1690994560022,34.75,32.5,0.1
1690994560114,34.5,32.5,0.1
1690994560206,34.5,32.5,0.1
1690994560297,34.5,32.5,0.1
1690994560389,34.5,32.5,0.1
1690994560482,34.5,32.5,0.1
1690994560574,34.75,32.5,0.1
1690994560666,34.75,32.5,0.1
1690994560757,34.75,32.5,0.1
1690994560850,34.5,32.5,0.1
1690994560942,34.5,32.5,0.1
1690994561034,34.5,32.5,0.1
1690994561126,34.5,32.5,0.1
1690994561217,34.75,32.5,0.1
1690994561309,34.75,32.5,0.1
1690994561401,34.5,32.5,0.1
1690994561493,34.75,32.5,0.1
1690994561584,34.75,32.5,0.1
1690994561675,34.5,32.5,0.1
1690994561767,34.75,32.5,0.1
1690994561860,34.5,32.5,0.1
1690994561951,34.5,32.5,0.1
1690994562042,34.75,32.5,0.1
1690994562134,34.5,32.5,0.1
1690994562226,34.5,32.5,0.1
1690994562317,34.5,32.5,0.1
1690994562410,34.5,32.5,0.1
1690994562501,34.5,32.5,0.1
1690994562592,34.75,32.5,0.1
1690994562684,34.5,32.5,0.1
1690994562776,34.75,32.5,0.1
1690994562868,34.5,32.5,0.1
1690994562959,34.75,32.5,0.1
1690994563052,34.75,32.5,0.1
1690994563144,34.5,32.5,0.1
1690994563236,34.75,32.5,0.1
1690994563327,34.75,32.5,0.1
1690994563420,34.75,32.5,0.1
1690994563512,34.75,32.5,0.1
1690994563603,34.5,32.5,0.1
1690994563695,34.5,32.5,0.1
1690994563787,34.75,32.5,0.1
1690994563879,34.5,32.5,0.1
1690994563971,34.75,32.5,0.1
1690994564063,34.75,32.5,0.1
1690994564155,34.5,32.5,0.1
1690994564247,34.75,32.5,0.1
1690994564339,34.75,32.5,0.1
1690994564430,34.75,32.5,0.1
1690994564522,34.5,32.5,0.1
1690994564614,34.75,32.5,0.1
1690994564706,34.75,32.5,0.1
1690994564797,34.5,32.5,0.1
1690994564889,34.5,32.5,0.1
1690994564981,34.75,32.5,0.1
1690994565073,34.5,32.5,0.1
1690994565165,34.5,32.5,0.1
1690994565257,34.75,32.5,0.1
1690994565349,34.75,32.5,0.1
1690994565440,34.5,32.5,0.1
1690994565533,34.75,32.5,0.1
1690994565625,34.75,32.5,0.1
1690994565717,34.5,32.5,0.1
1690994565808,34.5,32.5,0.1
1690994565900,34.5,32.5,0.1
1690994565992,34.75,32.5,0.1
1690994566084,34.5,32.5,0.1
1690994566175,34.5,32.5,0.1
1690994566266,34.75,32.5,0.1
1690994566359,34.75,32.5,0.1
1690994566450,34.5,32.5,0.1
1690994566543,34.5,32.5,0.1
1690994566635,34.5,32.5,0.1
1690994566726,34.5,32.5,0.1
1690994566818,34.75,32.5,0.1
1690994566911,34.75,32.5,0.1
1690994567003,34.5,32.5,0.1
1690994567095,34.5,32.5,0.1
1690994567186,34.5,32.5,0.1
1690994567277,34.75,32.5,0.1
1690994567370,34.5,32.5,0.1
1690994567462,34.75,32.5,0.1
1690994567554,34.75,32.5,0.1
1690994567646,34.75,32.5,0.1
1690994567737,34.5,32.5,0.1
1690994567828,34.5,32.5,0.1
1690994567921,34.75,32.5,0.1
1690994568013,34.5,32.5,0.1
1690994568105,34.5,32.5,0.1
1690994568196,34.5,32.5,0.1
1690994568288,34.5,32.5,0.1
1690994568381,34.75,32.5,0.1
1690994568472,34.5,32.5,0.1
1690994568564,34.5,32.5,0.1
1690994568656,34.5,32.5,0.1
1690994568747,34.5,32.5,0.1
1690994568838,34.75,32.5,0.1
1690994568931,34.75,32.5,0.1
1690994569022,34.5,32.5,0.1
1690994569114,34.5,32.5,0.1
1690994569205,34.75,32.5,0.1
1690994569298,34.5,32.5,0.1
1690994569389,34.75,32.5,0.1
1690994569480,34.75,32.5,0.1
1690994569571,34.75,32.5,0.1
1690994569663,34.5,32.5,0.1
1690994569755,34.5,32.5,0.1
1690994569846,34.75,32.5,0.1
1690994569941,34.75,32.5,0.1
1690994570032,34.75,32.5,0.1
1690994570123,34.75,32.5,0.1
1690994570214,34.5,32.5,0.1
1690994570305,34.5,32.5,0.1
1690994570397,34.5,32.5,0.1
1690994570488,34.75,32.5,0.1
1690994570579,34.5,32.5,0.1
1690994570670,34.5,32.5,0.1
1690994570761,34.75,32.5,0.1
1690994570853,34.5,32.5,0.1
1690994570944,34.5,32.5,0.1
1690994571035,34.5,32.5,0.1
1690994571126,34.5,32.5,0.1
1690994571217,34.5,32.5,0.1
1690994571308,34.75,32.5,0.1
1690994571400,34.5,32.5,0.1
1690994571492,34.5,32.5,0.1
1690994571584,34.5,32.5,0.1
1690994571676,34.5,32.5,0.1
1690994571767,34.5,32.5,0.1
1690994571859,34.5,32.5,0.1
1690994571950,34.75,32.5,0.1
1690994572042,34.75,32.5,0.1
1690994572134,34.5,32.5,0.1
1690994572225,34.5,32.5,0.1
1690994572316,34.75,32.5,0.1
1690994572408,34.5,32.5,0.1
1690994572501,34.5,32.5,0.1
1690994572593,34.75,32.5,0.1
1690994572685,34.5,32.5,0.1
1690994572777,34.5,32.5,0.1
1690994572868,34.5,32.5,0.1
1690994572960,34.75,32.5,0.1
1690994573052,34.5,32.5,0.1
1690994573144,34.5,32.5,0.1
1690994573236,34.75,32.5,0.1
1690994573327,34.75,32.5,0.1
1690994573420,34.5,32.5,0.1
1690994573512,34.75,32.5,0.1
1690994573604,34.75,32.5,0.1
1690994573696,34.75,32.5,0.1
1690994573788,34.5,32.5,0.1
1690994573880,34.75,32.5,0.1
1690994573972,34.75,32.5,0.1
1690994574064,34.75,32.5,0.1
1690994574155,34.5,32.5,0.1
1690994574246,34.75,32.5,0.1
1690994574339,34.5,32.5,0.1
1690994574431,34.5,32.5,0.1
1690994574523,34.5,32.5,0.1
1690994574615,34.5,32.5,0.1
1690994574707,34.5,32.5,0.1
1690994574799,34.5,32.5,0.1
1690994574890,34.75,32.5,0.1
1690994574982,34.5,32.5,0.1
1690994575074,34.5,32.5,0.1
1690994575166,34.5,32.5,0.1
1690994575257,34.5,32.5,0.1
1690994575349,34.75,32.5,0.1
1690994575441,34.75,32.5,0.1
1690994575532,34.5,32.5,0.1
1690994575623,34.75,32.5,0.1
1690994575715,34.5,32.5,0.1
1690994575807,34.5,32.5,0.1
1690994575899,34.5,32.5,0.1
1690994575991,34.75,32.5,0.1
1690994576082,34.5,32.5,0.1
1690994576175,34.5,32.5,0.1
1690994576266,34.5,32.5,0.1
1690994576357,34.75,32.5,0.1
1690994576450,34.5,32.5,0.1
1690994576541,34.5,32.5,0.1
1690994576633,34.5,32.5,0.1
1690994576725,34.75,32.5,0.1
1690994576816,34.75,32.5,0.1
1690994576909,34.5,32.5,0.1
1690994577001,34.5,32.5,0.1
1690994577093,34.75,32.5,0.1
1690994577185,34.5,32.5,0.1
1690994577276,34.5,32.5,0.1
1690994577369,34.5,32.5,0.1
1690994577461,34.5,32.5,0.1
1690994577553,34.5,32.5,0.1
1690994577645,34.75,32.5,0.1
1690994577737,34.5,32.5,0.1
1690994577828,34.5,32.5,0.1
1690994577921,34.5,32.5,0.1
1690994578012,34.75,32.5,0.1
1690994578104,34.75,32.5,0.1
1690994578196,34.5,32.5,0.1
1690994578287,34.5,32.5,0.1
1690994578379,34.75,32.5,0.1
1690994578470,34.5,32.5,0.1
1690994578563,34.5,32.5,0.1
1690994578654,34.5,32.5,0.1
1690994578745,34.5,32.5,0.1
1690994578837,34.5,32.5,0.1
1690994578930,34.5,32.5,0.1
1690994579022,34.75,32.5,0.1
1690994579114,34.5,32.5,0.1
1690994579206,34.75,32.5,0.1
