time,boilerTempC,groupheadTempC,heatLevel
1690995330887,35.0,32.5,0.0
1690995330979,35.0,32.5,0.0
1690995331071,35.0,32.5,0.2
1690995331163,35.0,32.5,0.2
1690995331254,35.0,32.5,0.2
1690995331345,35.0,32.5,0.2
1690995331436,35.0,32.5,0.2
1690995331529,35.0,32.5,0.2
1690995331620,35.0,32.5,0.2
1690995331713,35.0,32.5,0.2
1690995331805,35.0,32.5,0.2
1690995331896,35.0,32.5,0.2
1690995331988,35.0,32.5,0.2
1690995332079,35.0,32.5,0.2
1690995332172,35.0,32.75,0.2
1690995332263,35.0,32.5,0.2
1690995332354,35.0,32.5,0.2
1690995332447,35.0,32.5,0.2
1690995332538,35.0,32.5,0.2
1690995332631,35.0,32.5,0.2
1690995332723,35.0,32.5,0.2
1690995332815,35.0,32.75,0.2
1690995332906,35.0,32.5,0.2
1690995332998,35.0,32.5,0.2
1690995333090,35.0,32.5,0.2
1690995333181,35.0,32.5,0.2
1690995333274,35.0,32.5,0.2
1690995333365,35.0,32.5,0.2
1690995333457,35.0,32.5,0.2
1690995333549,35.0,32.5,0.2
1690995333642,35.0,32.5,0.2
1690995333734,35.0,32.5,0.2
1690995333826,35.0,32.5,0.2
1690995333917,35.0,32.5,0.2
1690995334008,35.0,32.5,0.2
1690995334100,35.0,32.5,0.2
1690995334192,35.0,32.5,0.2
1690995334283,35.0,32.5,0.2
1690995334375,35.0,32.5,0.2
1690995334467,35.0,32.5,0.2
1690995334558,35.0,32.75,0.2
1690995334649,35.0,32.5,0.2
1690995334742,35.0,32.5,0.2
1690995334834,35.0,32.5,0.2
1690995334926,35.0,32.5,0.2
1690995335018,35.0,32.75,0.2
1690995335110,35.0,32.5,0.2
1690995335202,35.0,32.5,0.2
1690995335294,35.0,32.5,0.2
1690995335386,35.0,32.5,0.2
1690995335477,35.0,32.5,0.2
1690995335569,35.0,32.5,0.2
1690995335661,35.0,32.5,0.2
1690995335753,35.0,32.5,0.2
1690995335845,35.0,32.75,0.2
1690995335937,35.0,32.5,0.2
1690995336028,35.0,32.75,0.2
1690995336120,35.0,32.5,0.2
1690995336212,35.0,32.5,0.2
1690995336305,35.0,32.5,0.2
1690995336396,35.0,32.5,0.2
1690995336488,34.75,32.5,0.2
1690995336580,35.0,32.75,0.2
1690995336673,35.0,32.5,0.2
1690995336765,35.0,32.5,0.2
1690995336856,35.0,32.5,0.2
1690995336949,35.0,32.75,0.2
1690995337041,34.75,32.5,0.2
1690995337133,35.0,32.75,0.2
1690995337225,35.0,32.5,0.2
1690995337317,35.0,32.5,0.2
1690995337409,35.0,32.5,0.2
1690995337501,35.0,32.75,0.2
1690995337592,35.0,32.5,0.2
1690995337683,34.75,32.5,0.2
1690995337775,35.0,32.5,0.2
1690995337866,35.0,32.5,0.2
1690995337958,35.0,32.5,0.2
1690995338050,35.0,32.75,0.2
1690995338142,35.0,32.5,0.2
1690995338234,35.0,32.75,0.2
1690995338326,35.0,32.5,0.2
1690995338417,35.0,32.5,0.2
1690995338508,35.0,32.75,0.2
1690995338600,35.0,32.5,0.2
1690995338692,35.0,32.5,0.2
1690995338783,35.0,32.5,0.2
1690995338875,35.0,32.5,0.2
1690995338968,35.0,32.5,0.2
1690995339060,35.0,32.5,0.2
1690995339152,35.0,32.5,0.2
1690995339243,35.0,32.5,0.2
1690995339334,35.0,32.75,0.2
1690995339426,35.0,32.75,0.2
1690995339518,34.75,32.5,0.2
1690995339610,35.0,32.5,0.2
1690995339702,35.0,32.5,0.2
1690995339793,35.0,32.5,0.2
1690995339884,35.0,32.5,0.2
1690995339976,35.0,32.5,0.2
1690995340068,35.0,32.5,0.2
1690995340159,35.0,32.5,0.2
1690995340252,35.0,32.5,0.2
1690995340344,35.0,32.5,0.2
1690995340436,35.0,32.5,0.2
1690995340527,35.0,32.75,0.2
1690995340619,34.75,32.5,0.2
1690995340710,35.0,32.5,0.2
1690995340802,35.0,32.5,0.2
1690995340894,35.0,32.5,0.2
1690995340986,35.0,32.5,0.2
1690995341077,35.0,32.5,0.2
