time,boiler_thermocouple,boiler_internal,grouphead_thermocouple,grouphead_internal,basket_thermocouple,basket_internal
1687120910.778849003s,85.75,27.375,85.25,26.75,85.25,26.9375
1687120910.810987088s,85.75,27.375,85.25,26.75,85.25,26.9375
1687120910.843151177s,85.75,27.375,85.25,26.75,85,26.9375
1687120910.874386148s,85.5,27.375,85.25,26.75,85,26.9375
1687120910.907031298s,85.5,27.375,85.25,26.6875,85,26.9375
1687120910.939163383s,85.5,27.375,85.25,26.6875,85.25,26.9375
1687120910.970734397s,85.25,27.375,85,26.6875,85.25,26.9375
1687120911.002915488s,85.25,27.375,85,26.75,85.25,26.9375
1687120911.034572279s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.0666321s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.099209983s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.1303977s,85.5,27.4375,85.25,26.6875,85.25,26.9375
1687120911.162992584s,85.5,27.4375,85.25,26.6875,85.25,26.9375
1687120911.195332439s,85.5,27.4375,85.25,26.6875,85.25,26.9375
1687120911.226667173s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.258843008s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.290434773s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.322594606s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.355340509s,85.5,27.375,85.25,26.6875,85.25,26.9375
1687120911.386747252s,85.5,27.375,85.25,26.6875,85.25,26.9375
1687120911.418350019s,85.5,27.375,85.25,26.6875,85.25,26.9375
1687120911.450863894s,85.5,27.375,85.25,26.75,85.25,26.9375
1687120911.482450658s,85.25,27.375,85.25,26.75,85.25,26.9375
1687120911.514650496s,85.25,27.375,85.25,26.75,85,26.9375
1687120911.546325271s,85.25,27.375,85.25,26.75,85,26.9375
1687120911.578505106s,85.25,27.375,85.25,26.6875,85,26.9375
1687120911.611120993s,85,27.375,85,26.6875,85.25,26.9375
1687120911.642565741s,85,27.375,85,26.6875,85.25,26.9375
1687120911.675287641s,85,27.4375,85,26.75,85.25,26.9375
1687120911.706445354s,85.25,27.4375,85.25,26.75,85.25,26.9375
1687120911.739112248s,85.25,27.375,85.25,26.6875,85.25,26.9375
1687120911.770296964s,85.5,27.375,85.25,26.6875,85.25,26.9375
1687120911.802864846s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120911.835152694s,85,27.4375,85.25,26.75,85.25,26.9375
1687120911.866802466s,85,27.4375,85.25,26.75,85.25,26.9375
1687120911.898985302s,85,27.375,85.25,26.75,85,26.9375
1687120911.930528061s,85.25,27.375,85.25,26.75,85,26.9375
1687120911.962729899s,85.25,27.375,85.25,26.75,85.25,26.9375
1687120911.995322784s,85.25,27.375,85.25,26.75,85.25,26.9375
1687120912.026486339s,85.25,27.375,85.25,26.75,85,26.9375
1687120912.059039977s,84.75,27.375,85.25,26.75,85,26.9375
1687120912.091233574s,84.75,27.375,85.25,26.75,85,26.9375
1687120912.122765097s,84.75,27.375,85.25,26.75,85.25,26.9375
1687120912.155084708s,85.25,27.375,85.25,26.75,85.25,26.9375
1687120912.187021277s,85.25,27.4375,85.25,26.75,85.25,26.9375
1687120912.218279769s,85.5,27.4375,85.25,26.75,85.25,27
1687120912.251061432s,85.5,27.375,85.25,26.75,85.25,27
1687120912.283275031s,85.5,27.375,85.5,26.75,85.25,27
1687120912.315002577s,85.5,27.375,85.5,26.75,85.25,26.9375
1687120912.347135167s,85.5,27.375,85.5,26.75,85.25,26.9375
1687120912.3787537s,85.25,27.375,85.25,26.75,85.25,26.9375
1687120912.410969299s,85.25,27.4375,85.25,26.75,85.25,26.9375
1687120912.442536826s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120912.474792431s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120912.506297951s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120912.538477546s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120912.571093191s,85.5,27.4375,85.25,26.75,85.25,26.9375
1687120912.602354684s,85.5,27.4375,85,26.75,85.25,26.9375
1687120912.634943325s,85.5,27.4375,85,26.75,85.25,26.9375
1687120912.667171926s,85.5,27.4375,85,26.75,85.25,26.9375
1687120912.698724451s,85.5,27.375,85,26.75,85.25,26.9375
1687120912.730899046s,85.25,27.375,85,26.75,85.25,26.9375
1687120912.762464573s,85.25,27.375,85,26.75,85.25,26.9375
1687120912.794643169s,85.5,27.375,85,26.75,85.25,26.9375
1687120912.827155802s,85.5,27.375,85,26.75,85.25,26.9375
1687120912.858676324s,85.5,27.375,85,26.75,85.25,26.9375
1687120912.89104594s,85.5,27.375,85,26.75,85.25,26.9375
1687120912.922498455s,85.5,27.375,85,26.6875,85.25,26.9375
1687120912.955138102s,85.25,27.375,85,26.6875,85.25,26.9375
1687120912.98635659s,85.25,27.4375,85,26.75,85.25,26.9375
1687120913.018906131s,85.5,27.4375,85,26.75,85.25,26.9375
1687120913.051073501s,85.5,27.4375,85,26.75,85.25,26.9375
1687120913.082680812s,85.5,27.4375,85,26.6875,85.25,26.9375
1687120913.115155213s,85.5,27.4375,85,26.6875,85.25,26.9375
1687120913.146580505s,85.5,27.4375,85,26.75,85.25,26.9375
1687120913.178749875s,85.5,27.4375,85,26.75,85.25,26.9375
1687120913.210316182s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.242501553s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.275047963s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.306324239s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.339169679s,85.5,27.375,85,26.75,85.25,27
1687120913.370349946s,85.5,27.375,85,26.75,85.25,27
1687120913.403077374s,85.5,27.375,85,26.75,85.25,27
1687120913.434390654s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.467044074s,85.5,27.375,85,26.75,85,26.9375
1687120913.498279346s,85.5,27.375,85,26.75,85,26.9375
1687120913.531040778s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.563218149s,85.5,27.375,85,26.75,85.25,26.9375
1687120913.594874465s,85.5,27.375,85,26.75,85,26.9375
1687120913.627111842s,85.5,27.375,85.25,26.75,85,26.9375
1687120913.658871169s,85.5,27.375,85.25,26.75,85,26.9375
1687120913.691044539s,85.5,27.375,85,26.75,85,26.9375
1687120913.722647849s,85.5,27.375,85,26.75,85,26.9375
1687120913.75511625s,85.5,27.4375,85,26.75,85,26.9375
1687120913.786753565s,85.5,27.4375,85,26.75,85,26.9375
1687120913.818951937s,85.5,27.4375,85,26.75,85,26.9375
1687120913.850564249s,85.5,27.4375,85.25,26.75,85,26.9375
1687120913.882753621s,85.5,27.375,85.25,26.75,85,26.9375
1687120913.914465943s,85.5,27.375,85,26.75,85,26.9375
1687120913.946788328s,85.5,27.375,85,26.75,85,26.9375
1687120913.985670401s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.010677985s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.043242183s,85.5,27.4375,85.25,26.75,85,26.9375
1687120914.075321334s,85.75,27.4375,85.25,26.75,85,26.9375
1687120914.106883433s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.139054593s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.170617692s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.202799853s,85.5,27.375,85,26.75,85,26.9375
1687120914.234456962s,85.5,27.375,85,26.75,85,26.9375
1687120914.266705129s,85.5,27.4375,85,26.75,85,26.9375
1687120914.29828823s,85.75,27.4375,85.25,26.75,85,26.9375
1687120914.330476391s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.36304759s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.394297659s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.426920863s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.45906902s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.490802136s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.522319231s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.554901431s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.587194602s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.618809707s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.650991868s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.682547967s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.714813135s,85.75,27.4375,85.25,26.75,85,26.9375
1687120914.746501247s,85.75,27.4375,85.25,26.75,85,26.9375
1687120914.778673407s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.811240605s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.842639688s,85.75,27.375,85.25,26.75,85,26.9375
1687120914.874344802s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.906648974s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.939233174s,85.5,27.375,85.25,26.75,85,26.9375
1687120914.970420237s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.003025439s,85.5,27.375,85.25,26.6875,85,26.9375
1687120915.034351337s,85.75,27.375,85.25,26.6875,85,26.9375
1687120915.067008343s,85.75,27.375,85.25,26.75,85,26.9375
1687120915.099191306s,85.75,27.375,85.25,26.75,85,26.9375
1687120915.130750212s,85.75,27.375,85.25,26.75,85,26.9375
1687120915.162949177s,85.75,27.375,85.25,26.75,85,26.9375
1687120915.194637094s,85.5,27.375,85,26.75,85,26.9375
1687120915.226841059s,85.5,27.4375,85,26.75,85,26.9375
1687120915.258418966s,85.75,27.4375,85,26.75,85,26.9375
1687120915.290601929s,85.75,27.375,85,26.75,85,26.9375
1687120915.323160927s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.35469283s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.386346744s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.418523707s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.451162712s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.482584605s,85.5,27.375,85,26.75,85,26.9375
1687120915.515324619s,85.5,27.4375,85,26.75,85,26.9375
1687120915.546493489s,85.5,27.4375,85.25,26.75,85,26.9375
1687120915.57909749s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.61123845s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.642784354s,85.5,27.375,85.25,26.75,85,26.9375
1687120915.675056325s,85.5,27.375,85.25,26.6875,85,26.9375
1687120915.706677236s,85.5,27.375,85,26.6875,85,26.9375
1687120915.738858199s,85.5,27.375,85,26.75,85,26.9375
1687120915.770508113s,85.5,27.375,85,26.75,85,26.9375
1687120915.802692076s,85.5,27.4375,85,26.75,85,26.9375
1687120915.834353991s,85.5,27.4375,85,26.75,85,26.9375
1687120915.86660096s,85.5,27.4375,85,26.75,85,26.9375
1687120915.89917896s,85.5,27.375,85,26.6875,85,26.9375
1687120915.93035083s,85.5,27.375,85,26.6875,85,26.9375
1687120915.962893826s,85.5,27.375,85,26.75,85,26.9375
1687120915.995112792s,85.5,27.375,85,26.75,84.75,26.9375
1687120916.026721579s,85.5,27.4375,85,26.75,84.75,26.9375
1687120916.058911357s,85.5,27.4375,85,26.75,84.75,26.9375
1687120916.090512085s,85.5,27.4375,85,26.75,84.75,26.9375
1687120916.122692862s,85.5,27.375,85,26.75,84.75,26.9375
1687120916.154374597s,85.5,27.375,85,26.75,84.75,26.9375
1687120916.18661938s,85.5,27.375,85,26.6875,84.75,26.9375
1687120916.219216194s,85.25,27.375,85,26.6875,84.75,26.9375
1687120916.250401885s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.283017701s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.315395495s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.346670195s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.379120996s,84.75,27.375,85,26.75,84.75,26.9375
1687120916.410665719s,84.75,27.375,85,26.75,84.75,26.9375
1687120916.442844496s,85.25,27.375,85,26.75,84.75,26.9375
1687120916.474550233s,85.25,27.4375,85,26.6875,84.75,26.9375
1687120916.506340977s,85.25,27.4375,85,26.6875,84.75,26.9375
1687120916.5390498s,85.25,27.4375,85,26.6875,84.75,26.9375
